zip,Average Education Index 2000,Median Income 2000,Inflated Median Income 2000,Median Rent 2000,Inflated Median Rent 2000,Take Public Transp % in 2000,Total Population % in 2000,White Population % in 2000
94305,17.76,41313.0,57809.36,843.0,2132.5360956,0.02,13371.0,0.606
94708,17.01,103791.0,145234.94,1527.0,2781.8121772,0.131,10730.0,0.8390000000000001
94304,17.0,77539.0,108500.47,1948.0,2800.0031019,0.032,1704.0,0.731
94707,16.83,100590.0,140755.78,1076.0,2405.3999661,0.142,11880.0,0.8320000000000001
94709,16.61,38613.0,54031.24,807.0,1994.0052074999999,0.193,10140.0,0.682
94705,16.59,68112.0,95309.25,770.0,1889.057565,0.158,12443.0,0.777
94301,16.59,97758.0,136792.96,1283.0,2692.2568556,0.035,16186.0,0.8420000000000001
95064,16.51,45054.0,63044.15,780.0,2098.95285,0.23800000000000002,4559.0,0.659
94027,16.36,200001.0,279861.78,2001.0,2800.0031019,0.027000000000000003,6857.0,0.855
94618,16.33,77952.0,109078.38,935.0,2122.7409823,0.17800000000000002,15420.0,0.797
94022,16.32,145425.0,203493.48,1684.0,2800.0031019,0.017,18466.0,0.8009999999999999
94306,16.31,82314.0,115182.14,1262.0,2693.6561575,0.040999999999999995,24484.0,0.727
94563,16.3,119832.0,167681.15,1254.0,2800.0031019,0.14800000000000002,17944.0,0.8690000000000001
92130,16.27,93929.0,131435.03,1358.0,2800.0031019,0.004,28187.0,0.804
92121,16.26,70750.0,99000.61,1114.0,2447.3790231,0.019,4248.0,0.667
92014,16.24,97029.0,135772.86,1240.0,2665.6701195,0.005,13938.0,0.915
94024,16.23,128853.0,180304.25,1961.0,2800.0031019,0.009000000000000001,21479.0,0.782
90077,16.18,141527.0,198039.0,1508.0,2800.0031019,0.009000000000000001,10465.0,0.871
90272,16.17,122877.0,171942.02,1691.0,2800.0031019,0.011000000000000001,22538.0,0.914
92657,16.16,114004.0,159526.01,1673.0,2800.0031019,0.009000000000000001,5586.0,0.821
94941,16.14,91283.0,127732.48,1207.0,2473.9657592,0.10099999999999999,28718.0,0.898
94920,16.14,106492.0,149014.46,1700.0,2800.0031019,0.1,13048.0,0.9129999999999999
90402,16.13,118553.0,165891.44,977.0,2587.3092131,0.019,11492.0,0.897
95616,16.05,42110.0,58924.6,763.0,1672.1657705,0.065,67407.0,0.6920000000000001
92037,16.04,68691.0,96119.45,1067.0,2461.3720421,0.021,42603.0,0.825
90049,16.03,84342.0,118019.92,1148.0,2619.4931568,0.013000000000000001,33520.0,0.875
91108,16.03,119147.0,166722.62,1906.0,2800.0031019,0.003,13149.0,0.484
94123,16.01,84710.0,118534.86,1281.0,2657.2743081,0.29600000000000004,22903.0,0.865
