zip,Average Education Index 2014,Median Income 2014,Median Rent 2014,Take Public Transp % in 2014,Total Population % in 2014,White Population % in 2014
94305,17.69,51976.0,1524.0,0.034,13538.0,0.59
94708,17.12,145610.0,1988.0,0.157,11143.0,0.818
94304,17.02,101932.0,2001.0,0.046,3688.0,0.7040000000000001
94707,17.15,136331.0,1719.0,0.203,12402.0,0.812
94709,16.83,59150.0,1425.0,0.18899999999999997,12030.0,0.625
94705,16.66,96537.0,1350.0,0.20199999999999999,12790.0,0.805
94301,17.07,134907.0,1924.0,0.047,16927.0,0.7390000000000001
95064,16.77,60536.0,1500.0,0.153,8425.0,0.619
94027,16.76,236912.0,2001.0,0.042,7230.0,0.818
94618,16.69,123575.0,1517.0,0.21100000000000002,17007.0,0.71
94022,16.99,182750.0,2001.0,0.019,19737.0,0.6890000000000001
94306,16.62,111602.0,1925.0,0.07,27094.0,0.579
94563,16.37,166147.0,2001.0,0.156,18284.0,0.7979999999999999
92130,16.66,131166.0,2001.0,0.008,50280.0,0.655
92121,16.53,103598.0,1749.0,0.028999999999999998,4832.0,0.48200000000000004
92014,16.39,114777.0,1905.0,0.021,13525.0,0.8959999999999999
94024,16.8,167546.0,2001.0,0.012,22573.0,0.698
90077,16.62,172443.0,2001.0,0.001,8328.0,0.873
90272,16.53,157938.0,2001.0,0.019,23497.0,0.8909999999999999
92657,16.2,163486.0,2001.0,0.003,9751.0,0.77
94941,16.32,121209.0,1768.0,0.081,30605.0,0.853
94920,16.32,132486.0,2001.0,0.11900000000000001,12583.0,0.915
90402,16.42,131607.0,1849.0,0.009000000000000001,11503.0,0.8809999999999999
95616,16.31,45332.0,1195.0,0.051,48106.0,0.611
92037,16.57,95306.0,1759.0,0.046,39241.0,0.818
90049,16.44,116732.0,1872.0,0.028999999999999998,35262.0,0.852
91108,16.04,120152.0,2001.0,0.009000000000000001,13613.0,0.44
94123,16.19,121200.0,1899.0,0.33899999999999997,25528.0,0.836
94704,15.92,30997.0,1338.0,0.22899999999999998,26334.0,0.488
92612,15.62,67039.0,1888.0,0.017,29325.0,0.545
95030,16.3,154107.0,1940.0,0.01,13429.0,0.8640000000000001
95070,16.59,167386.0,2001.0,0.009000000000000001,31093.0,0.511
94939,15.82,93750.0,1839.0,0.16399999999999998,6935.0,0.884
94556,16.39,133088.0,1862.0,0.157,15505.0,0.765
94129,16.91,144886.0,2001.0,0.245,3334.0,0.84
92602,15.56,104149.0,1838.0,0.013999999999999999,23529.0,0.425
92122,16.33,71307.0,1739.0,0.07200000000000001,44602.0,0.605
90274,16.23,156250.0,2001.0,0.003,25482.0,0.6990000000000001
94065,16.24,132462.0,2001.0,0.048,11585.0,0.526
90266,16.17,142071.0,1987.0,0.018000000000000002,35534.0,0.8270000000000001
90024,16.19,59125.0,1862.0,0.049,50117.0,0.607
94611,16.22,107577.0,1222.0,0.16699999999999998,37225.0,0.693
94549,16.22,137344.0,1616.0,0.163,28298.0,0.8390000000000001
95014,16.46,130961.0,2001.0,0.021,62478.0,0.31
92067,16.51,119939.0,2001.0,0.004,9020.0,0.924
94904,15.97,102237.0,1725.0,0.084,12271.0,0.879
91011,16.26,152210.0,2001.0,0.006,20671.0,0.6829999999999999
90254,15.92,105029.0,1865.0,0.012,19725.0,0.875
94114,16.48,122970.0,1844.0,0.36700000000000005,32229.0,0.799
92131,15.91,119924.0,2001.0,0.008,33868.0,0.685
92625,15.88,125735.0,2001.0,0.008,12572.0,0.88
93108,16.01,125272.0,2001.0,0.008,12119.0,0.909
94507,15.99,163219.0,2001.0,0.07200000000000001,15973.0,0.894
94506,16.07,176241.0,2001.0,0.043,21896.0,0.737
94706,16.34,81746.0,1619.0,0.244,20206.0,0.555
92660,15.76,112008.0,2001.0,0.01,35308.0,0.857
94130,13.85,38077.0,1647.0,0.47600000000000003,3083.0,0.375
95120,15.81,152721.0,2001.0,0.021,37673.0,0.631
94965,15.69,89715.0,1815.0,0.161,11114.0,0.782
94105,16.83,170656.0,2001.0,0.172,6282.0,0.564
94960,15.87,108295.0,1543.0,0.106,15999.0,0.885
90293,15.5,84588.0,1767.0,0.013999999999999999,11997.0,0.691
91105,16.19,108882.0,1958.0,0.046,11373.0,0.6990000000000001
90265,15.58,124814.0,2001.0,0.005,17660.0,0.861
94970,16.47,107768.0,2001.0,0.02,495.0,0.99
94598,15.87,121337.0,1770.0,0.16699999999999998,26974.0,0.795
90403,16.2,72366.0,1699.0,0.045,25116.0,0.847
90292,15.94,103319.0,2001.0,0.011000000000000001,21507.0,0.8009999999999999
94925,15.51,113279.0,1721.0,0.1,9478.0,0.8240000000000001
94117,15.95,103333.0,1773.0,0.371,42638.0,0.743
94131,15.96,100114.0,1858.0,0.299,28370.0,0.6709999999999999
90275,15.89,120742.0,2001.0,0.013000000000000001,42420.0,0.618
95033,15.82,126397.0,1576.0,0.001,9628.0,0.907
92614,15.64,95984.0,1900.0,0.008,25657.0,0.574
90212,16.02,84516.0,1902.0,0.040999999999999995,12415.0,0.779
94404,15.73,114779.0,2001.0,0.053,35045.0,0.46299999999999997
93921,15.41,62230.0,1622.0,0.021,3164.0,0.879
92651,15.93,98697.0,1859.0,0.006999999999999999,23668.0,0.904
91436,15.85,128060.0,2001.0,0.025,14563.0,0.875
91302,15.95,121715.0,1983.0,0.005,25165.0,0.8290000000000001
92782,15.68,102755.0,2001.0,0.006999999999999999,22583.0,0.521
94610,16.03,73850.0,1263.0,0.168,29734.0,0.58
95032,15.88,120893.0,1772.0,0.008,25898.0,0.785
94526,15.57,128802.0,2001.0,0.062,32274.0,0.853
92661,15.87,93099.0,1664.0,0.027000000000000003,3152.0,0.898
90803,15.64,72025.0,1357.0,0.023,30805.0,0.8440000000000001
