,zip,Index Change,Percent_Change_House,Percent_Change_Rent,Percent_Change_Public_Transp,Percent_Change_Population,Percent_Change_White,Outcome
0,91311,0.28,0.418050941,0.592134831,0.011,0.069428321,-0.102,0
1,90670,0.78,0.492025518,0.69986541,0.012,-0.041136322,0.075,0
2,92065,-0.1,0.400943396,0.7284122559999999,-0.004,0.089219331,0.03,0
3,93710,0.07,0.332704995,0.561278863,0.014,0.129130153,-0.023,0
4,95019,0.94,0.561079545,0.627802691,0.006,0.557667934,0.218,0
5,92346,0.1,0.535122336,0.607843137,-0.011,0.220167126,-0.005,0
6,91941,0.55,0.761080332,0.71349096,0.002,-0.250319142,-0.039,0
7,90249,0.38,0.566106647,0.615625,0.023,0.038512465,-0.01,0
8,93306,0.2,0.410536779,0.653778559,-0.003,0.28885647,0.069,0
9,92555,-0.2,0.3886121,0.82292849,0.0,2.176096181,-0.141,1
10,90029,1.16,0.523665049,0.72920354,0.04,-0.036837183,0.053,0
11,92831,0.29,0.511845387,0.62720403,0.002,0.021018243,-0.015,0
12,94709,0.22,0.249371543,0.7657992570000001,-0.004,0.186390533,-0.057,0
13,92335,0.17,0.405353728,0.6382636660000001,0.001,0.20539389,0.07,0
14,92840,0.3,0.466380544,0.6625,-0.003,0.111679438,-0.022,0
15,92124,0.1,0.426201373,0.730968858,0.0,0.000298142,0.012,0
16,90003,0.58,0.482819383,0.86013986,0.002,0.149964769,0.031,1
17,93060,0.55,0.491163476,0.646627566,0.012,0.040819465,0.166,0
18,92691,0.13,0.400812065,0.620220901,0.01,0.037934009,-0.02,0
19,92359,0.33,0.51907131,0.626893939,-0.002,0.135778812,-0.01,0
20,95630,0.55,0.430630631,0.50798722,0.012,0.414800671,-0.076,0
21,90266,0.31,0.417286575,0.462104489,0.014,0.053108885,-0.063,0
22,95405,0.38,0.418,0.436781609,0.001,-0.032858363,-0.053,0
23,93234,0.53,0.57223796,0.82967033,-0.092,-0.000869313,0.29600000000000004,1
24,90501,0.81,0.498125,0.747838617,0.024,0.066589675,-0.069,0
25,92354,0.17,0.449080622,0.643712575,-0.013,0.19338943600000005,-0.061,0
26,91765,0.23,0.443060498,0.7984111220000001,0.003,0.022398968,-0.078,0
27,94939,-0.12,0.5109516620000001,0.310762651,0.009000000000000001,0.02497783,-0.039,0
28,92377,0.08,0.310549777,0.646889952,-0.018000000000000002,0.067625277,0.095,0
29,92677,0.33,0.405783133,0.506622517,0.003,0.04095074,-0.062,0
30,92382,0.4,0.4558960070000001,0.73816156,0.0,-0.041774972,0.029,0
31,95355,0.38,0.459915612,0.613533835,0.01,0.259426531,-0.029,0
32,92067,0.7,0.0,0.0,-0.005,0.186685962,-0.005,0
33,92675,0.19,0.508069004,0.7373637259999999,-0.015,0.037451546,-0.07400000000000001,0
34,94589,0.26,0.28401487,0.570422535,-0.021,-0.269846912,0.048,0
35,91352,0.78,0.450744153,0.769817073,0.013,0.005362045,0.272,0
36,92630,0.26,0.349035187,0.519779209,-0.008,0.008281643,-0.093,0
37,95828,-0.37,0.32350312800000003,0.5346260389999999,-0.005,0.12081222,-0.051,0
38,90049,0.41,0.0,0.630662021,0.016,0.051968974,-0.023,0
39,94553,0.21,0.446302251,0.591324201,-0.006999999999999999,0.04783643,-0.031,0
