zip,Average Education Index 2000,Average Education Index 2014,Index Change,Median Cost for House 2000,Median Cost for House 2014,Change in Cost for House,Median Income 2000,Median Income 2014,Income Change,Median Rent 2000,Median Rent 2014,Rent Change,Take Public Transp % in 2000,Take Public Transp % in 2014,Take Public Transp % Change,Total Population % in 2000,Total Population % in 2014,Total Population % Change,White Population % in 2000,White Population % in 2014,White Population % Change,Outcome
94305,17.76,17.69,-0.07000000000000028,3089.0,4001.0,912.0,41313.0,51976.0,10663.0,843.0,1524.0,681.0,0.02,0.034,0.014000000000000002,13371.0,13538.0,167.0,0.606,0.59,-0.016000000000000014,
94708,17.01,17.12,0.10999999999999943,2407.0,3410.0,1003.0,103791.0,145610.0,41819.0,1527.0,1988.0,461.0,0.131,0.157,0.025999999999999995,10730.0,11143.0,413.0,0.8390000000000001,0.818,-0.02100000000000013,
94304,17.0,17.02,0.019999999999999574,3250.0,4001.0,751.0,77539.0,101932.0,24393.0,1948.0,2001.0,53.0,0.032,0.046,0.013999999999999999,1704.0,3688.0,1984.0,0.731,0.7040000000000001,-0.026999999999999913,
94707,16.83,17.15,0.3200000000000003,2190.0,3201.0,1011.0,100590.0,136331.0,35741.0,1076.0,1719.0,643.0,0.142,0.203,0.061000000000000026,11880.0,12402.0,522.0,0.8320000000000001,0.812,-0.020000000000000018,
94709,16.61,16.83,0.21999999999999886,1989.0,2485.0,496.0,38613.0,59150.0,20537.0,807.0,1425.0,618.0,0.193,0.18899999999999997,-0.004000000000000031,10140.0,12030.0,1890.0,0.682,0.625,-0.05700000000000005,
94705,16.59,16.66,0.07000000000000028,2530.0,3587.0,1057.0,68112.0,96537.0,28425.0,770.0,1350.0,580.0,0.158,0.20199999999999999,0.043999999999999984,12443.0,12790.0,347.0,0.777,0.805,0.028000000000000025,
94301,16.59,17.07,0.4800000000000004,3316.0,4001.0,685.0,97758.0,134907.0,37149.0,1283.0,1924.0,641.0,0.035,0.047,0.011999999999999997,16186.0,16927.0,741.0,0.8420000000000001,0.7390000000000001,-0.10299999999999998,
95064,16.51,16.77,0.259999999999998,1429.0,1773.0,344.0,45054.0,60536.0,15482.0,780.0,1500.0,720.0,0.23800000000000002,0.153,-0.08500000000000002,4559.0,8425.0,3866.0,0.659,0.619,-0.040000000000000036,
94027,16.36,16.76,0.40000000000000213,4001.0,4001.0,0.0,200001.0,236912.0,36911.0,2001.0,2001.0,0.0,0.027000000000000003,0.042,0.015,6857.0,7230.0,373.0,0.855,0.818,-0.03700000000000003,
94618,16.33,16.69,0.360000000000003,2335.0,3327.0,992.0,77952.0,123575.0,45623.0,935.0,1517.0,582.0,0.17800000000000002,0.21100000000000002,0.033,15420.0,17007.0,1587.0,0.797,0.71,-0.08700000000000008,
94022,16.32,16.99,0.6699999999999982,3967.0,4001.0,34.0,145425.0,182750.0,37325.0,1684.0,2001.0,317.0,0.017,0.019,0.0019999999999999983,18466.0,19737.0,1271.0,0.8009999999999999,0.6890000000000001,-0.11199999999999988,
94306,16.31,16.62,0.3100000000000023,2531.0,3897.0,1366.0,82314.0,111602.0,29288.0,1262.0,1925.0,663.0,0.040999999999999995,0.07,0.029000000000000012,24484.0,27094.0,2610.0,0.727,0.579,-0.14800000000000002,
94563,16.3,16.37,0.07000000000000028,2823.0,3969.0,1146.0,119832.0,166147.0,46315.0,1254.0,2001.0,747.0,0.14800000000000002,0.156,0.00799999999999998,17944.0,18284.0,340.0,0.8690000000000001,0.7979999999999999,-0.07100000000000017,
92130,16.27,16.66,0.39000000000000057,2502.0,3673.0,1171.0,93929.0,131166.0,37237.0,1358.0,2001.0,643.0,0.004,0.008,0.004,28187.0,50280.0,22093.0,0.804,0.655,-0.14900000000000002,
92121,16.26,16.53,0.2699999999999996,2048.0,2920.0,872.0,70750.0,103598.0,32848.0,1114.0,1749.0,635.0,0.019,0.028999999999999998,0.009999999999999998,4248.0,4832.0,584.0,0.667,0.48200000000000004,-0.185,
92014,16.24,16.39,0.15000000000000213,2933.0,4001.0,1068.0,97029.0,114777.0,17748.0,1240.0,1905.0,665.0,0.005,0.021,0.016,13938.0,13525.0,-413.0,0.915,0.8959999999999999,-0.019000000000000128,
94024,16.23,16.8,0.5700000000000003,3315.0,4001.0,686.0,128853.0,167546.0,38693.0,1961.0,2001.0,40.0,0.009000000000000001,0.012,0.002999999999999999,21479.0,22573.0,1094.0,0.782,0.698,-0.08400000000000007,
90077,16.18,16.62,0.4400000000000013,4001.0,4001.0,0.0,141527.0,172443.0,30916.0,1508.0,2001.0,493.0,0.009000000000000001,0.001,-0.008,10465.0,8328.0,-2137.0,0.871,0.873,0.0020000000000000018,
90272,16.17,16.53,0.35999999999999943,3700.0,4001.0,301.0,122877.0,157938.0,35061.0,1691.0,2001.0,310.0,0.011000000000000001,0.019,0.007999999999999998,22538.0,23497.0,959.0,0.914,0.8909999999999999,-0.02300000000000013,
92657,16.16,16.2,0.03999999999999915,3763.0,4001.0,238.0,114004.0,163486.0,49482.0,1673.0,2001.0,328.0,0.009000000000000001,0.003,-0.006000000000000001,5586.0,9751.0,4165.0,0.821,0.77,-0.050999999999999934,
94941,16.14,16.32,0.17999999999999972,2845.0,3999.0,1154.0,91283.0,121209.0,29926.0,1207.0,1768.0,561.0,0.10099999999999999,0.081,-0.01999999999999999,28718.0,30605.0,1887.0,0.898,0.853,-0.04500000000000004,
94920,16.14,16.32,0.17999999999999972,3734.0,4001.0,267.0,106492.0,132486.0,25994.0,1700.0,2001.0,301.0,0.1,0.11900000000000001,0.019000000000000003,13048.0,12583.0,-465.0,0.9129999999999999,0.915,0.002000000000000113,
90402,16.13,16.42,0.2900000000000027,4001.0,4001.0,0.0,118553.0,131607.0,13054.0,977.0,1849.0,872.0,0.019,0.009000000000000001,-0.009999999999999998,11492.0,11503.0,11.0,0.897,0.8809999999999999,-0.016000000000000125,
95616,16.05,16.31,0.259999999999998,1600.0,2359.0,759.0,42110.0,45332.0,3222.0,763.0,1195.0,432.0,0.065,0.051,-0.014000000000000005,67407.0,48106.0,-19301.0,0.6920000000000001,0.611,-0.08100000000000007,
