zip,Average Education Index 2000,Median Cost for House 2000,Median Income 2000,Median Rent 2000,Take Public Transp % in 2000,Total Population % in 2000,White Population % in 2000
94305,17.76,3089.0,41313.0,843.0,0.02,13371.0,0.606
94708,17.01,2407.0,103791.0,1527.0,0.131,10730.0,0.8390000000000001
94304,17.0,3250.0,77539.0,1948.0,0.032,1704.0,0.731
94707,16.83,2190.0,100590.0,1076.0,0.142,11880.0,0.8320000000000001
94709,16.61,1989.0,38613.0,807.0,0.193,10140.0,0.682
94705,16.59,2530.0,68112.0,770.0,0.158,12443.0,0.777
94301,16.59,3316.0,97758.0,1283.0,0.035,16186.0,0.8420000000000001
95064,16.51,1429.0,45054.0,780.0,0.23800000000000002,4559.0,0.659
94027,16.36,4001.0,200001.0,2001.0,0.027000000000000003,6857.0,0.855
94618,16.33,2335.0,77952.0,935.0,0.17800000000000002,15420.0,0.797
94022,16.32,3967.0,145425.0,1684.0,0.017,18466.0,0.8009999999999999
94306,16.31,2531.0,82314.0,1262.0,0.040999999999999995,24484.0,0.727
94563,16.3,2823.0,119832.0,1254.0,0.14800000000000002,17944.0,0.8690000000000001
92130,16.27,2502.0,93929.0,1358.0,0.004,28187.0,0.804
92121,16.26,2048.0,70750.0,1114.0,0.019,4248.0,0.667
92014,16.24,2933.0,97029.0,1240.0,0.005,13938.0,0.915
94024,16.23,3315.0,128853.0,1961.0,0.009000000000000001,21479.0,0.782
90077,16.18,4001.0,141527.0,1508.0,0.009000000000000001,10465.0,0.871
90272,16.17,3700.0,122877.0,1691.0,0.011000000000000001,22538.0,0.914
92657,16.16,3763.0,114004.0,1673.0,0.009000000000000001,5586.0,0.821
94941,16.14,2845.0,91283.0,1207.0,0.10099999999999999,28718.0,0.898
94920,16.14,3734.0,106492.0,1700.0,0.1,13048.0,0.9129999999999999
90402,16.13,4001.0,118553.0,977.0,0.019,11492.0,0.897
95616,16.05,1600.0,42110.0,763.0,0.065,67407.0,0.6920000000000001
92037,16.04,2705.0,68691.0,1067.0,0.021,42603.0,0.825
90049,16.03,4001.0,84342.0,1148.0,0.013000000000000001,33520.0,0.875
91108,16.03,3189.0,119147.0,1906.0,0.003,13149.0,0.484
94123,16.01,4001.0,84710.0,1281.0,0.29600000000000004,22903.0,0.865
94704,16.01,2030.0,19750.0,732.0,0.174,21203.0,0.505
92612,16.0,1960.0,60257.0,1204.0,0.01,41051.0,0.59
95030,16.0,3570.0,117564.0,1335.0,0.005,13289.0,0.8809999999999999
95070,15.99,3216.0,138206.0,1677.0,0.009000000000000001,30577.0,0.6759999999999999
94939,15.94,2648.0,75747.0,1403.0,0.155,6766.0,0.9229999999999999
94556,15.9,2625.0,98525.0,1112.0,0.127,16501.0,0.809
92602,15.89,2403.0,112399.0,2001.0,0.005,2754.0,0.46299999999999997
92122,15.88,1641.0,52039.0,1133.0,0.028999999999999998,34891.0,0.74
90274,15.88,3362.0,117979.0,1489.0,0.009000000000000001,24976.0,0.768
94065,15.86,2762.0,104958.0,1900.0,0.036000000000000004,10656.0,0.627
90266,15.86,2823.0,100761.0,1359.0,0.004,33742.0,0.89
90024,15.86,3905.0,47573.0,1183.0,0.044000000000000004,44141.0,0.645
