zip,median_house_value_2000,median_house_value_2014,percent_change_house,median_income_2000,median_income_2014,percent_change_income,median_rent_2000,median_rent_2014,percent_change_rent,average_education_index_2000,average_education_index_2014,index_change,percent_public_transp_2000,percent_public_transp_2014,percent_change_public_tranp,population_2000,population_2014,percent_change_population,percent_white_2000,percent_white_2014,percent_change_white,Outcome
90001,138900,241800,0.740820734,24207,34050,0.41,568,975,0.7170000000000001,9.49,10.14,0.65,0.172,0.16699999999999998,-0.029069767000000003,54481,56314,0.034,0.24600000000000002,0.499,1.028,0
90002,127700,218800,0.71339076,22872,30214,0.32,560,968,0.7290000000000001,10.06,10.61,0.55,0.12300000000000001,0.13699999999999998,0.113821138,44584,50098,0.124,0.166,0.484,1.916,0
90003,134400,228600,0.700892857,22346,30016,0.34,572,1064,0.86,9.91,10.49,0.58,0.17300000000000001,0.175,0.011560694,58187,66913,0.15,0.193,0.22399999999999998,0.161,2
90004,371100,724900,0.953381838,27591,38493,0.4,600,1070,0.7829999999999999,11.83,12.93,1.1,0.21600000000000003,0.231,0.06944444400000001,67850,63547,-0.063,0.33799999999999997,0.345,0.021,0
90005,392200,635500,0.620346762,21998,31214,0.42,547,939,0.7170000000000001,11.37,12.27,0.9,0.342,0.35100000000000003,0.026315789,43014,38638,-0.102,0.278,0.196,-0.295,0
90006,169000,403200,1.385798817,20593,31403,0.52,530,940,0.774,10.25,11.16,0.91,0.312,0.34700000000000003,0.112179487,62765,61419,-0.021,0.26899999999999996,0.18100000000000002,-0.327,0
90007,172700,372500,1.1569195140000001,17644,22646,0.28,540,1038,0.922,10.94,11.87,0.93,0.195,0.177,-0.092307692,45021,43779,-0.027999999999999997,0.321,0.28800000000000003,-0.10300000000000001,0
90008,236000,443800,0.880508475,30472,36180,0.19,623,1032,0.657,13.22,13.38,0.16,0.11,0.139,0.263636364,30840,33012,0.07,0.061,0.122,1.0,0
90010,692700,569900,-0.17727732100000002,32083,47308,0.47,590,1637,1.775,13.81,14.6,0.79,0.114,0.083,-0.271929825,1943,3792,0.9520000000000001,0.401,0.19699999999999998,-0.509,0
90011,140000,269100,0.922142857,23851,29889,0.25,554,993,0.792,9.32,9.8,0.48,0.257,0.218,-0.151750973,101214,102926,0.017,0.27899999999999997,0.293,0.05,0
90012,159500,393800,1.4689655169999998,20152,29492,0.46,564,1116,0.9790000000000001,11.27,12.32,1.05,0.14400000000000002,0.11,-0.236111111,30577,30029,-0.018000000000000002,0.203,0.285,0.40399999999999997,0
90013,160000,384900,1.405625,8855,21120,1.39,286,686,1.399,11.79,13.22,1.43,0.281,0.172,-0.387900356,9727,10575,0.087,0.27899999999999997,0.32,0.147,0
90014,37500,331700,7.845333332999999,8633,17134,0.98,215,615,1.86,10.93,13.64,2.71,0.391,0.187,-0.52173913,3518,6659,0.893,0.247,0.495,1.004,0
90015,205600,428900,1.086089494,18533,28953,0.56,431,866,1.0090000000000001,10.3,11.92,1.62,0.326,0.27399999999999997,-0.159509202,15134,18226,0.204,0.29600000000000004,0.317,0.071,0
