zip,Median_Income_2000,Median_Income_2014,Median_Rent_2000,Median_Rent_2014,Total_Pop_2000,Total_Pop_2014,White_Pop_2000,White_Pop_2014,Outcome
94027,"$200,001","$236,912","$2,001","$2,001",6857,7230,85.5%,81.8%,
92067,"$196,298","$119,939","$2,001","$2,001",7601,9020,92.9%,92.4%,
94028,"$164,479","$180,174","$2,001","$2,001",6595,6720,92.5%,87.0%,
94022,"$145,425","$182,750","$1,684","$2,001",18466,19737,80.1%,68.9%,
94506,"$142,459","$176,241","$2,001","$2,001",19768,21896,77.3%,73.7%,
90077,"$141,527","$172,443","$1,508","$2,001",10465,8328,87.1%,87.3%,
94507,"$139,997","$163,219","$1,426","$2,001",15186,15973,90.4%,89.4%,
95070,"$138,206","$167,386","$1,677","$2,001",30577,31093,67.6%,51.1%,
94024,"$128,853","$167,546","$1,961","$2,001",21479,22573,78.2%,69.8%,
90272,"$122,877","$157,938","$1,691","$2,001",22538,23497,91.4%,89.1%,
95120,"$120,117","$152,721","$1,872","$2,001",37089,37673,70.8%,63.1%,
94563,"$119,832","$166,147","$1,254","$2,001",17944,18284,86.9%,79.8%,
91108,"$119,147","$120,152","$1,906","$2,001",13149,13613,48.4%,44.0%,
90402,"$118,553","$131,607",$977,"$1,849",11492,11503,89.7%,88.1%,
90274,"$117,979","$156,250","$1,489","$2,001",24976,25482,76.8%,69.9%,
95030,"$117,564","$154,107","$1,335","$1,940",13289,13429,88.1%,86.4%,
92861,"$116,658","$150,864",$892,"$2,001",5932,5911,82.2%,73.7%,
92657,"$114,004","$163,486","$1,673","$2,001",5586,9751,82.1%,77.0%,
92679,"$112,998","$149,538","$1,301","$1,956",32267,32822,87.5%,83.4%,
90210,"$112,572","$138,750","$1,307","$2,001",21396,21478,88.3%,86.2%,
92602,"$112,399","$104,149","$2,001","$1,838",2754,23529,46.3%,42.5%,
91011,"$109,802","$152,210","$1,144","$2,001",20187,20671,75.0%,68.3%,
94526,"$109,771","$128,802","$1,560","$2,001",32853,32274,88.3%,85.3%,
95033,"$106,675","$126,397","$1,160","$1,576",10170,9628,92.1%,90.7%,
94920,"$106,492","$132,486","$1,700","$2,001",13048,12583,91.3%,91.5%,
94552,"$105,393","$132,826","$1,204","$2,001",13202,15209,57.8%,46.5%,
94065,"$104,958","$132,462","$1,900","$2,001",10656,11585,62.7%,52.6%,
92887,"$103,926","$126,984","$1,278","$1,817",20876,20071,77.1%,73.0%,
92091,"$103,904","$94,318","$2,001","$2,001",1061,1433,94.9%,92.9%,
94708,"$103,791","$145,610","$1,527","$1,988",10730,11143,83.9%,81.8%,
95138,"$103,389","$145,505","$1,572","$2,001",14785,19136,52.3%,42.8%,
91436,"$102,652","$128,060","$1,260","$2,001",13109,14563,89.9%,87.5%,
94539,"$101,977","$144,152","$1,315","$1,989",46910,51459,41.8%,19.3%,
93108,"$101,575","$125,272","$1,267","$2,001",12737,12119,93.7%,90.9%,
94549,"$101,555","$137,344","$1,065","$1,616",23995,28298,87.1%,83.9%,
95746,"$100,986","$118,919","$1,118","$1,752",20663,23715,90.8%,82.4%,
90265,"$100,857","$124,814","$1,638","$2,001",19614,17660,89.4%,86.1%,
90266,"$100,761","$142,071","$1,359","$1,987",33742,35534,89.0%,82.7%,
94707,"$100,590","$136,331","$1,076","$1,719",11880,12402,83.2%,81.2%,
92625,"$100,080","$125,735","$1,364","$2,001",13407,12572,93.0%,88.0%,
95014,"$100,020","$130,961","$1,657","$2,001",54412,62478,50.0%,31.0%,
93953,"$98,608","$102,396","$2,001","$2,001",4590,4578,91.4%,89.0%,
94556,"$98,525","$133,088","$1,112","$1,862",16501,15505,80.9%,76.5%,
92660,"$98,119","$112,008","$1,424","$2,001",28672,35308,91.5%,85.7%,
94301,"$97,758","$134,907","$1,283","$1,924",16186,16927,84.2%,73.9%,
92014,"$97,029","$114,777","$1,240","$1,905",13938,13525,91.5%,89.6%,
94062,"$96,677","$126,557","$1,125","$1,557",25563,27014,86.9%,83.3%,
94517,"$96,658","$121,367","$1,360","$1,889",14223,12781,87.4%,84.7%,
95135,"$96,078","$128,654","$1,400","$1,825",15791,21349,53.5%,39.5%,
90275,"$95,643","$120,742","$1,500","$2,001",41261,42420,67.3%,61.8%,
94583,"$95,588","$121,948","$1,387","$1,720",44076,35272,77.2%,62.2%,
94127,"$95,313","$131,108","$1,110","$2,001",20624,19356,62.2%,58.3%,
92210,"$95,126","$83,269",$670,$797,3859,4839,96.4%,88.2%,
92130,"$93,929","$131,166","$1,358","$2,001",28187,50280,80.4%,65.5%,
94037,"$93,859","$147,568","$1,473","$1,646",2332,2880,90.0%,92.7%,
91302,"$93,378","$121,715","$1,222","$1,983",23644,25165,87.3%,82.9%,
95032,"$93,118","$120,893","$1,370","$1,772",24427,25898,85.7%,78.5%,
94404,"$92,989","$114,779","$1,622","$2,001",31866,35045,60.7%,46.3%,
94588,"$92,644","$127,684","$1,364","$1,856",28557,31910,76.4%,59.4%,
92673,"$92,073","$125,629","$1,142","$2,001",15280,29875,89.8%,81.6%,
95762,"$91,529","$117,700","$1,238","$1,994",22021,40603,90.5%,81.2%,
94941,"$91,283","$121,209","$1,207","$1,768",28718,30605,89.8%,85.3%,
92131,"$90,811","$119,924","$1,223","$2,001",29279,33868,78.4%,68.5%,
94566,"$90,107","$120,401","$1,101","$1,638",36664,42523,83.7%,70.1%,
94025,"$89,572","$119,095","$1,324","$1,833",39061,40945,74.1%,74.5%,
91377,"$89,561","$117,326","$1,480","$2,001",14809,14512,88.0%,81.8%,
95148,"$89,398","$107,324","$1,504","$2,001",44095,46993,27.8%,21.5%,
94020,"$89,150","$92,356",$831,"$1,539",1610,1483,88.1%,93.5%,
94070,"$89,016","$125,335","$1,188","$1,667",28079,29879,84.8%,79.2%,
94105,"$88,976","$170,656","$1,996","$2,001",2058,6282,70.1%,56.4%,
91301,"$88,725","$109,913","$1,221","$1,965",25302,26439,87.0%,84.8%,
92610,"$88,710","$120,984","$1,209","$1,766",10934,11799,74.4%,70.5%,
90290,"$88,661","$106,750","$1,189","$1,961",5441,6902,90.9%,88.5%,
92808,"$88,329","$110,964","$1,330","$1,861",19612,20137,68.7%,69.3%,
94970,"$88,184","$107,768","$1,220","$2,001",772,495,95.1%,99.0%,
95119,"$87,931","$103,319","$1,379","$1,894",10137,10595,65.2%,59.7%,
94502,"$87,855","$105,480","$1,568","$2,001",13980,13192,53.5%,43.3%,
95131,"$87,486","$108,366","$1,504","$1,868",26384,29660,22.3%,15.8%,
91381,"$87,112","$114,608","$1,098","$1,780",9919,20296,73.1%,66.8%,
91361,"$86,646","$103,306","$1,198","$1,908",18724,20266,90.5%,85.9%,
95139,"$86,515","$98,400","$1,500","$1,654",7006,6632,70.8%,68.4%,
92620,"$86,467","$102,160","$1,165","$1,861",26415,43802,65.0%,42.5%,
92782,"$85,977","$102,755","$1,340","$2,001",17485,22583,66.9%,52.1%,
93908,"$85,488","$113,826",$927,"$1,756",13020,12350,81.0%,86.2%,
94598,"$85,479","$121,337","$1,246","$1,770",26011,26974,82.5%,79.5%,
95054,"$85,124","$116,855","$1,489","$2,001",13013,23914,38.2%,28.9%,
