Census Track,Average Income,Neighborhood,Shape_Area,City,County,State,Country
686114,1904514,12,646,New Jennifer,70,Oklahoma,
241828,477020,41,618,Blairton,77,Delaware,
167495,5236724,87,626,Briggsville,42,Kansas,
805008,4813103,53,424,Allenton,19,Vermont,
100194,3158504,79,531,Millerland,52,Arizona,
928795,2277277,39,237,Wallaceshire,63,Utah,
721838,2685840,24,740,Dalefurt,99,Virginia,
188471,3007218,55,922,Johnville,17,Alabama,
568406,188175,89,482,South Lauren,29,Nevada,
302391,8573630,76,236,Milesview,59,Kansas,
487202,6486298,42,659,New Alex,55,Illinois,
953053,8797972,67,657,Port Jennifer,7,Georgia,
355705,5130941,57,688,Lake William,50,Wisconsin,
407455,7970815,64,518,West Rebeccamouth,97,Texas,
334614,448702,64,717,Elliottville,36,Iowa,
685438,2741981,69,328,Simpsonmouth,34,Alaska,
544724,760445,60,741,South Daniel,98,Missouri,
169436,7225218,95,486,Sarahhaven,48,Florida,
901673,3474451,45,946,Port Lisa,41,Vermont,
796876,1696819,63,266,Lewisland,96,Wisconsin,
100815,5753717,85,145,North Evelynburgh,61,Virginia,
140355,2187498,47,691,Benjaminstad,30,Connecticut,
551861,8850470,56,707,Snyderfort,47,Mississippi,
786293,2130380,84,357,Jenniferside,68,Iowa,
65448,5924443,79,323,New Janiceport,36,Oklahoma,
948100,738586,55,710,South Michaelport,79,Tennessee,
494023,3081509,89,347,North Jasonstad,50,West Virginia,
275245,9931368,25,846,Lake Matthewport,91,Illinois,
756098,4890420,57,490,Wilsonland,64,Montana,
535125,6562738,18,570,South Michellefort,74,Virginia,
43388,5818031,88,675,Ellisburgh,46,Tennessee,
352959,1516514,30,131,Jacobsonberg,60,Rhode Island,
634805,7689792,86,715,Pamelashire,95,Vermont,
255771,9936406,58,284,Shawnton,29,Maryland,
231199,4663515,45,892,South Alexandraborough,39,Vermont,
861165,7529504,62,567,Derekview,2,North Dakota,
993547,9043000,77,744,South Adamport,58,New York,
870652,3825017,34,121,North Anne,71,South Carolina,
36849,565348,55,328,Lake Jennifer,2,Utah,
109067,1896347,64,635,Frostville,25,Kentucky,
800691,9145208,82,935,Port Elizabeth,13,Alabama,
649149,5520304,15,871,Port Paulamouth,85,South Carolina,
585020,2764233,29,919,South Kristen,21,California,
790877,6037155,72,525,Doughertymouth,91,Massachusetts,
778827,1441937,88,555,Raymondbury,52,Iowa,
719912,4691781,47,203,New Kevin,75,Wyoming,
820375,1100924,55,352,Brandonstad,46,Missouri,
824991,3394826,42,282,Darrenville,22,Kentucky,
725496,2421081,54,926,Jacksonbury,46,New Hampshire,
393834,3147900,73,974,East Colton,46,Iowa,
113788,115542,97,758,Davidshire,73,Florida,
225390,4412054,31,398,North Kellyville,31,Kansas,
252342,4660647,75,868,West Stephaniestad,65,Nebraska,
78710,5252505,59,832,East Stephanie,73,Oregon,
620672,4120996,20,801,East Michaelbury,14,Wisconsin,
212955,6080753,96,906,Joburgh,12,Montana,
747897,8378359,30,868,Thomasborough,25,Maryland,
356860,8625328,21,692,Stevensonfurt,69,Tennessee,
526061,9844322,82,962,South Jeffreyside,72,New York,
328641,4960950,38,684,New Seanfort,75,Nevada,
807226,7385162,98,192,South Amystad,8,New Mexico,
949700,6026849,82,889,West Paulberg,55,Nevada,
134704,8366039,12,577,Shannonville,19,Massachusetts,
524269,4013672,90,932,Sandraberg,45,Nevada,
318869,1011357,33,691,Andersonton,52,Alaska,
12330,2073415,76,371,Kevinport,62,Tennessee,
585755,997939,10,265,New Alishastad,72,Missouri,
698973,8726351,71,987,Port Marcus,84,Wyoming,
654902,4540044,96,290,Petersonside,22,North Carolina,
343154,139640,68,791,West Sarahshire,16,Maine,
157849,3145929,96,494,Matthewport,34,Mississippi,
970204,2627295,60,381,Lake Morganville,69,Texas,
952651,361393,65,115,West Lydia,32,Massachusetts,
818998,7345021,40,153,North Meganberg,92,South Carolina,
564072,6263739,27,747,New Dwayne,11,Indiana,
982542,1652435,69,315,Matthewland,93,Montana,
881870,5470550,67,533,North Jeffreyton,82,Illinois,
152818,8808536,45,819,South Luis,96,Iowa,
747124,3347936,81,418,East Joshuamouth,83,Maine,
96760,5904348,91,426,Allenbury,68,Delaware,
105822,8194957,72,378,West Danaville,78,Oklahoma,
37062,2212217,96,375,Johnsonville,90,Washington,
271733,3467799,88,404,East Darrenshire,0,Michigan,
307396,3626301,38,329,South Deborah,37,Maryland,
596938,1084449,79,278,West Garyfort,49,West Virginia,
122698,6850138,63,996,Chloeburgh,58,Minnesota,
877294,836176,20,615,North Kevin,54,Vermont,
895289,7822827,57,463,Parkmouth,46,Oklahoma,
255243,4291576,23,258,Darylshire,20,Nevada,
876107,9251270,29,229,Thompsonberg,36,Utah,
67991,3557342,26,820,Karenburgh,73,North Dakota,
343275,3413633,36,881,Lake Kimberlyport,36,Hawaii,
192692,6629173,44,874,Brittneyfurt,25,Alabama,
95166,6955410,23,590,Abigailbury,43,New Hampshire,
333575,5939099,81,127,Lake Michael,6,South Dakota,
123223,550543,64,668,East Dustin,34,South Carolina,
900612,5445290,42,183,Jamesview,96,Idaho,
427332,8389092,33,732,Port Nancyfurt,40,Hawaii,
944395,8658868,28,537,Lake James,18,Vermont,
650322,3681884,93,414,Port Denise,72,Vermont,
247208,8737764,28,976,Kirbyview,31,South Dakota,
743717,4775245,44,726,Garymouth,28,Arizona,
31990,8826387,91,342,Hawkinsstad,25,Wisconsin,
960208,8455087,76,750,West Brian,34,South Carolina,
615696,2219971,64,254,Williamsonhaven,18,Minnesota,
29135,7307362,73,638,West Paulstad,92,Virginia,
478963,7611827,93,252,Josephmouth,28,Iowa,
115649,8766102,30,464,Williamsberg,17,South Dakota,
