OBJECTID,zipcode,Rank,Neighborho,IRS_Ratio,HH_Size,Per_White,Per_Colleg,Rent,Index_Scor,IRS_Rati_1,IRS_Rati_2,HH_Incom_2,HH_Size_20,HH_Size_21,Percent_Wh,Percent__1,College_Pe,College__1,Gross_Rent,Gross_Re_1,MedInc4,HHChangAdj,Population,Populati_1,Populati_2,Evaluated
1,90001,37,Florence,-47.007,-2.759,-0.086,1.561,24.858,0.389560915,24.339,12.898,34050,4.35,4.23,0.78,0.69,2.41,3.97,781,975,33279.05739,2.31659989935,54481,56314,3.4,Yes
2,90002,57,Watts/Green Meadows,-44.965,1.683,0.346,1.309,25.733,0.359524514,27.413,15.087,30214,4.16,4.23,0.47,0.81,3,4.31,770,968,31443.73944,-3.91091982665,44584,50098,12.4,Yes
3,90003,33,Florence/Broadway-Manchester,-41.524,3,-0.182,2.798,35.303,0.402007903,31.808,18.6,30016,4,4.12,0.68,0.49,3.3,6.09,786,1064,30720.61042,-2.29360813593,58187,66913,15,Yes
4,90004,15,East Hollywood/Larchmont/Windsor Square,-32.379,-6.873,3.06,11.296,29.716,0.483,2.338,1.581,38493,2.91,2.71,14.3,17.36,22.3,33.59,825,1070,37931.27907,1.48089108454,67850,63547,-6.3,Yes
5,90005,20,Koreatown/Mid-Wilshire,-41.123,-8.214,0.934,7.12,24.864,0.46,4.074,2.399,31214,2.8,2.57,7.56,8.49,19.03,26.15,752,939,30242.19046,3.21342311922,43014,38638,-10.2,Yes
6,90006,18,Pico Union/Harvard Heights,-59.321,-5.74,0.556,5.77,29.007,0.466,19.18,7.802,31403,3.31,3.12,2.83,3.38,9.03,14.8,729,940,28310.63861,10.9229658596,62765,61419,-2.1,Yes
7,90007,32,University Park/Adams-Normandie/Exposition Park,-53.86,5.863,1.152,5.755,39.818,0.402986298,12.396,5.719,22646,3.07,3.25,16.1,17.25,15.76,21.51,742,1038,24256.44188,-6.63923376712,45021,43779,-2.8,Yes
8,90008,102,Baldwin Hills/Crenshaw/Leimert Park,-11.265,3.947,0.023,2.135,20.49,0.251250463,1.7,1.508,36180,2.28,2.37,2.01,2.03,24.92,27.05,857,1032,41891.99144,-13.6350439396,30840,33012,7,Yes
9,90010,22,Koreatown,14.734,-12.376,-24.633,9.41,101.817,0.437,0.392,0.449,47308,2.02,1.77,40.19,15.56,38.49,47.9,811,1637,44106.74591,7.25796932862,1943,3792,95.2,Yes
10,90011,41,Historic South Central/Central Alameda/South Park,-59.591,-1.72,-0.426,0.455,30.377,0.38698668,37.713,15.239,29889,4.65,4.57,0.89,0.46,2.78,3.24,762,993,32789.63927,-8.84620671217,101214,102926,1.7,Yes
11,90012,7,Chinatown/Arts District,-48.23,-4.741,3.89,14.298,43.928,0.548,2.572,1.331,29492,2.32,2.21,12.54,16.43,12.92,27.22,775,1116,27704.36504,6.45253900394,30577,30029,-1.8,Yes
12,90013,2,Downtown/Arts District,-37.339,-1.55,5.306,19.56,74.469,0.68,1.625,1.019,21120,1.29,1.27,20.81,26.12,14.37,33.93,393,686,12173.58835,73.49034149,9727,10575,8.7,Yes
13,90014,1,Downtown,-58.747,7.317,26.815,29.511,108.064,0.814,1.978,0.816,17134,1.23,1.32,15.34,42.15,8.71,38.22,296,615,11868.38941,44.3666820164,3518,6659,89.3,Yes
14,90015,4,Downtown/Pico Union,-72.601,-16.892,5.964,13.476,46.151,0.649,5.086,1.393,28953,2.96,2.46,5.6,11.56,10.92,24.4,593,866,25478.61241,13.6364866897,15134,18226,20.4,Yes
15,90016,30,West Adams/Mid-City/Baldwin Hills,-45.588,-3.158,1.752,6.073,25.786,0.41,4.033,2.195,38050,2.85,2.76,3.11,4.86,12.75,18.82,863,1086,39976.93683,-4.8201212569,46968,47786,1.7,Yes
16,90017,3,Westlake/Downtown,-55.714,-18.627,8.944,18.207,59.384,0.661,3.744,1.658,21009,3.06,2.49,3.49,12.44,3.98,22.19,532,848,20411.21019,2.92873281121,20689,23719,14.6,Yes
17,90018,35,Jefferson Park/Adams-Normandie/Exposition Park,-44.713,1.316,1.766,4.009,24.933,0.394230138,7.223,3.993,32104,3.04,3.08,2.6,4.37,10.19,14.2,774,967,32715.40169,-1.8688497112,47127,48852,3.7,Yes
18,90019,21,Mid-Wilshire/Mid-City/Arlington Heights,-40.641,-3.226,5.563,9.109,28.594,0.441,2.312,1.372,43244,2.79,2.7,8.72,14.28,21.25,30.36,883,1135,43306.62977,-0.144619358127,67510,67606,0.1,Yes
19,90020,16,Koreatown/Windsor Square/Hancock Park,-36.953,-3.213,1.557,7.97,30.439,0.472,3.283,2.07,37121,2.49,2.41,9.77,11.33,29.47,37.44,858,1119,33280.43216,11.5400179347,42383,39102,-7.7,Yes
20,90021,80,Downtown,-47.336,-13.529,2.552,2.806,-1.732,0.318654143,2.025,1.067,12748,1.7,1.47,15.54,18.09,14.44,17.25,415,408,17944.87281,-28.960209777,3003,2913,-3,Yes
21,90023,26,Boyle Heights,-48.878,-5.239,1.002,2.859,15.228,0.428,14.941,7.638,37082,4.39,4.16,1.36,2.36,3.64,6.5,833,960,36959.31668,0.331941526577,47468,45886,-3.3,Yes
22,90024,106,Westwood,6.639,9.137,-5.184,5.384,14.487,0.22227881,0.121,0.129,59125,1.97,2.15,61.29,56.1,66.22,71.61,1626,1862,65401.93321,-9.59747350257,44141,50117,13.5,Yes
23,90025,48,Sawtelle/West LA/Century City,-16.215,7.368,-5.114,9.811,22.166,0.376216783,0.247,0.207,71278,1.9,2.04,58.93,53.82,55.51,65.32,1317,1609,65722.25462,8.45337003747,41170,45284,10,Yes
24,90026,5,Silver Lake/Echo Park/Westlake,-47.505,-9.459,9.165,13.883,36.727,0.587,2.548,1.338,46435,2.96,2.68,14.1,23.26,20.95,34.83,800,1094,39388.53527,17.889633828,73671,67986,-7.7,Yes
25,90027,13,Los Feliz,-27.077,-5.093,6.953,12.491,37.044,0.52,0.981,0.715,50316,2.16,2.05,51.85,58.8,35.85,48.34,889,1219,43745.1814,15.0206683107,48715,46025,-5.5,Yes
26,90028,6,Hollywood,-44.776,-10.945,8.745,14.681,37.838,0.57,3.566,1.969,31742,2.01,1.79,41.39,50.14,26,40.68,825,1137,30097.83961,5.46271895692,30562,29994,-1.9,Yes
27,90029,10,East Hollywood/Silver Lake,-48.302,-8,3.821,11.634,25.779,0.537,6.703,3.466,35253,3,2.76,18.11,21.93,14.48,26.12,777,977,30304.05511,16.3309658461,41697,40161,-3.7,Yes
28,90031,17,Frog Town/Lincoln Heights/Montecito Heights,-52.742,-4.607,0.939,6.792,27.1,0.469,7.076,3.344,34656,3.69,3.52,3.82,4.76,7.28,14.07,784,996,34781.681,-0.361342512456,38409,39333,2.4,Yes
29,90032,25,El Sereno/Montecito Heights,-41.53,-1.099,1.718,3.979,30.188,0.429,3.274,1.914,45208,3.64,3.6,5.09,6.81,10.18,14.15,837,1090,45979.18265,-1.67724305991,46942,47309,0.8,Yes
30,90033,45,Boyle Heights,-49.444,-2.618,0.095,3.39,23.914,0.379584599,14.945,7.556,27190,3.82,3.72,2.07,2.17,4.56,7.95,733,908,30834.71633,-11.8201714295,49418,48567,-1.7,Yes
31,90034,23,Palms/Mid-City/Beverlywood,-30.01,0.893,3.273,10.81,26.055,0.434,0.785,0.55,56743,2.24,2.26,35.07,38.34,40.62,51.43,1112,1402,51184.06187,10.8606818742,58199,58968,1.3,Yes
32,90035,56,Mid-City/Carthay/Pico-Robertson/Beverlywood,-13.585,9.005,-0.934,11.72,25.258,0.36013532,0.338,0.292,75327,2.11,2.3,68.65,67.72,48.01,59.73,1340,1679,68757.74678,9.55420083939,27792,31399,13,Yes
33,90036,46,Fairfax/Mid-Wilshire/Hancock Park,-16.742,3.704,-5.84,7.325,26.786,0.379542941,0.305,0.254,71049,1.89,1.96,67.31,61.47,58.39,65.72,1434,1818,65639.76842,8.2407840707,32885,36425,10.8,Yes
