,Average Education Index 2014,zip
1,19.00,95463
2,19.00,95721
3,17.69,94305
4,17.68,95736
5,17.38,92617
6,17.25,95325
7,17.15,94707
8,17.12,94708
9,17.07,94301
10,17.07,95604
11,17.02,94304
12,16.99,94022
13,16.94,93530
14,16.92,95923
15,16.91,94129
16,16.87,95053
17,16.83,94105
18,16.83,94709
19,16.80,94024
20,16.77,95064
21,16.76,94028
22,16.76,94027
23,16.70,90094
24,16.69,94618
25,16.66,94705
26,16.66,92130
27,16.62,94306
28,16.62,90077
29,16.59,95070
30,16.57,92037
31,16.53,92121
32,16.53,90272
33,16.52,90263
34,16.52,92603
35,16.51,92067
36,16.48,94114
37,16.47,94970
38,16.46,95014
39,16.45,94957
40,16.44,90049
41,16.42,90402
42,16.39,92014
43,16.39,94556
44,16.38,94575
45,16.37,94563
46,16.37,95497
47,16.36,93541
48,16.34,94706
49,16.33,92122
50,16.32,94920
51,16.32,94941
52,16.31,95616
53,16.30,95030
54,16.29,94963
55,16.29,94720
56,16.26,91011
57,16.24,94065
58,16.23,90274
59,16.22,93522
60,16.22,94611
61,16.22,94549
62,16.21,95618
63,16.20,94516
64,16.20,90403
65,16.20,92657
66,16.19,91105
67,16.19,94123
68,16.19,90024
69,16.17,90266
70,16.17,95735
71,16.15,94592
72,16.15,94158
73,16.07,94582
74,16.07,94506
75,16.05,94539
76,16.04,91108
77,16.03,94610
78,16.02,90212
79,16.01,93108
80,16.00,95211
81,15.99,94507
82,15.99,94025
83,15.99,94087
84,15.97,94904
85,15.97,94040
86,15.96,93953
87,15.96,94131
88,15.95,91302
89,15.95,94117
90,15.95,92091
91,15.94,94973
92,15.94,90292
93,15.93,92385
94,15.93,92651
95,15.92,94704
96,15.92,90254
97,15.91,92131
98,15.89,90275
99,15.89,92127
100,15.88,92625
101,15.88,95032
102,15.88,95134
103,15.87,94960
104,15.87,94598
105,15.87,92661
106,15.86,94107
107,15.85,91436
108,15.85,94127
109,15.84,95129
110,15.82,94939
111,15.82,95033
112,15.81,95120
113,15.79,92694
114,15.78,92618
115,15.77,92118
116,15.76,92660
117,15.73,90405
118,15.73,94404
119,15.73,91024
120,15.72,92620
121,15.71,94010
122,15.70,95819
123,15.69,92662
124,15.69,90068
125,15.69,93109
126,15.69,94965
127,15.68,90064
128,15.68,95054
129,15.68,92782
130,15.67,93923
131,15.66,94070
132,15.65,95041
133,15.64,90277
134,15.64,90803
135,15.64,92614
