zip,Average Education Index 2000,Average Education Index 2014,Index Change,Take Public Transp % in 2000,Take Public Transp % in 2014,Change in Public Transp %,Total Population in 2000,Total Population in 2014,% Change in Total Population,White Population % in 2000,White Population % in 2014,% Change in White Population %,Outcome
94305,17.76,17.69,-0.07000000000000028,0.02,0.034,0.014000000000000002,13371.0,13538.0,0.012,0.606,0.59,-0.026,
94708,17.01,17.12,0.10999999999999943,0.131,0.157,0.025999999999999995,10730.0,11143.0,0.038,0.839,0.818,-0.025,
94304,17.0,17.02,0.019999999999999574,0.032,0.046,0.013999999999999999,1704.0,3688.0,1.164,0.731,0.704,-0.037,
94707,16.83,17.15,0.3200000000000003,0.142,0.203,0.061000000000000026,11880.0,12402.0,0.044,0.832,0.812,-0.024,
94709,16.61,16.83,0.21999999999999886,0.193,0.18899999999999997,-0.004000000000000031,10140.0,12030.0,0.186,0.682,0.625,-0.084,
94705,16.59,16.66,0.07000000000000028,0.158,0.20199999999999999,0.043999999999999984,12443.0,12790.0,0.028,0.777,0.805,0.036,
94301,16.59,17.07,0.4800000000000004,0.035,0.047,0.011999999999999997,16186.0,16927.0,0.046,0.842,0.739,-0.122,
95064,16.51,16.77,0.259999999999998,0.23800000000000002,0.153,-0.08500000000000002,4559.0,8425.0,0.848,0.659,0.619,-0.061,
94027,16.36,16.76,0.40000000000000213,0.027000000000000003,0.042,0.015,6857.0,7230.0,0.054,0.855,0.818,-0.043,
94618,16.33,16.69,0.360000000000003,0.17800000000000002,0.21100000000000002,0.033,15420.0,17007.0,0.103,0.797,0.71,-0.109,
94022,16.32,16.99,0.6699999999999982,0.017,0.019,0.0019999999999999983,18466.0,19737.0,0.069,0.801,0.689,-0.14,
94306,16.31,16.62,0.3100000000000023,0.040999999999999995,0.07,0.029000000000000012,24484.0,27094.0,0.107,0.727,0.579,-0.204,
94563,16.3,16.37,0.07000000000000028,0.14800000000000002,0.156,0.00799999999999998,17944.0,18284.0,0.019,0.869,0.798,-0.082,
92130,16.27,16.66,0.39000000000000057,0.004,0.008,0.004,28187.0,50280.0,0.784,0.804,0.655,-0.185,
92121,16.26,16.53,0.2699999999999996,0.019,0.028999999999999998,0.009999999999999998,4248.0,4832.0,0.137,0.667,0.482,-0.277,
92014,16.24,16.39,0.15000000000000213,0.005,0.021,0.016,13938.0,13525.0,-0.03,0.915,0.896,-0.021,
94024,16.23,16.8,0.5700000000000003,0.009000000000000001,0.012,0.002999999999999999,21479.0,22573.0,0.051,0.782,0.698,-0.107,
90077,16.18,16.62,0.4400000000000013,0.009000000000000001,0.001,-0.008,10465.0,8328.0,-0.204,0.871,0.873,0.002,
90272,16.17,16.53,0.35999999999999943,0.011000000000000001,0.019,0.007999999999999998,22538.0,23497.0,0.043,0.914,0.891,-0.025,
92657,16.16,16.2,0.03999999999999915,0.009000000000000001,0.003,-0.006000000000000001,5586.0,9751.0,0.746,0.821,0.77,-0.062,
94941,16.14,16.32,0.17999999999999972,0.10099999999999999,0.081,-0.01999999999999999,28718.0,30605.0,0.066,0.898,0.853,-0.05,
94920,16.14,16.32,0.17999999999999972,0.1,0.11900000000000001,0.019000000000000003,13048.0,12583.0,-0.036,0.913,0.915,0.002,
90402,16.13,16.42,0.2900000000000027,0.019,0.009000000000000001,-0.009999999999999998,11492.0,11503.0,0.001,0.897,0.881,-0.018,
95616,16.05,16.31,0.259999999999998,0.065,0.051,-0.014000000000000005,67407.0,48106.0,-0.286,0.692,0.611,-0.117,
92037,16.04,16.57,0.5300000000000011,0.021,0.046,0.024999999999999998,42603.0,39241.0,-0.079,0.825,0.818,-0.008,
90049,16.03,16.44,0.41000000000000014,0.013000000000000001,0.028999999999999998,0.015999999999999997,33520.0,35262.0,0.052,0.875,0.852,-0.026,
91108,16.03,16.04,0.00999999999999801,0.003,0.009000000000000001,0.006000000000000001,13149.0,13613.0,0.035,0.484,0.44,-0.091,
94123,16.01,16.19,0.17999999999999972,0.29600000000000004,0.33899999999999997,0.04299999999999993,22903.0,25528.0,0.115,0.865,0.836,-0.034,
