,house_median_value_2000,zip
1,"$1,000,001",90210
2,"$1,000,001",90402
3,"$1,000,001",90743
4,"$1,000,001",92067
5,"$1,000,001",93108
6,"$1,000,001",94022
7,"$1,000,001",94027
8,"$1,000,001",94028
9,"$1,000,001",94115
10,"$1,000,001",94123
11,"$1,000,001",94129
12,"$1,000,001",94301
13,"$1,000,001",94304
14,"$1,000,001",94920
15,"$1,000,001",95030
16,"$1,000,001",95070
17,"$1,000,001",95480
18,"$1,000,001",95646
19,"$996,000",94024
20,"$951,400",90049
21,"$937,500",94133
22,"$918,500",92662
23,"$905,400",90020
24,"$899,400",90077
25,"$899,300",94010
26,"$894,700",90272
27,"$893,100",90212
28,"$891,000",94970
29,"$887,400",92661
30,"$882,800",93920
31,"$874,500",90024
32,"$864,700",94305
33,"$861,100",94074
34,"$844,500",90265
35,"$828,900",94108
36,"$828,500",94904
37,"$825,100",92625
38,"$774,900",92657
39,"$769,000",90069
40,"$765,400",94117
41,"$764,400",94025
42,"$761,000",90067
43,"$744,500",90274
44,"$743,900",94507
45,"$737,600",94062
46,"$736,000",93953
47,"$732,600",94306
48,"$716,400",95032
49,"$704,200",94118
50,"$699,900",92014
51,"$692,700",90010
52,"$688,700",91108
53,"$683,800",92118
54,"$682,500",94941
55,"$678,600",94946
56,"$672,800",92651
57,"$672,500",90266
58,"$672,300",93921
59,"$672,300",94114
60,"$665,200",94939
61,"$663,900",92037
62,"$663,600",94109
63,"$662,800",90211
64,"$661,000",94040
65,"$657,600",94506
66,"$657,400",94402
67,"$654,900",95014
68,"$652,000",94965
69,"$648,400",90403
70,"$644,700",92660
71,"$638,000",94563
72,"$631,700",93923
73,"$628,400",94065
74,"$627,000",94070
75,"$626,300",95120
76,"$625,000",92384
77,"$625,000",94940
78,"$625,000",94964
79,"$612,400",94705
80,"$597,500",96146
81,"$597,200",95138
82,"$595,100",92663
83,"$594,800",94002
84,"$591,000",92861
85,"$587,700",91302
86,"$585,900",94111
87,"$583,500",91011
88,"$583,400",91436
89,"$582,900",94960
90,"$581,500",94087
91,"$579,200",95033
92,"$578,100",94303
93,"$573,300",94549
94,"$572,800",94925
95,"$560,200",90275
96,"$554,400",94127
97,"$554,100",95129
98,"$553,600",94030
99,"$552,700",90293
100,"$551,600",94041
101,"$548,400",94404
102,"$538,500",95432
103,"$537,100",94556
104,"$535,800",93103
105,"$535,200",94539
106,"$532,800",94526
107,"$529,400",94901
108,"$524,500",90742
109,"$521,500",90046
110,"$520,400",90254
111,"$513,200",95046
112,"$511,600",94019
113,"$511,500",93105
114,"$511,500",93110
115,"$511,100",94038
116,"$508,500",90405
117,"$506,700",94107
118,"$497,700",94061
119,"$497,600",94618
120,"$497,200",93109
121,"$496,500",94956
122,"$496,200",95125
123,"$495,900",91105
124,"$495,600",90068
125,"$490,700",90290
126,"$489,500",94131
127,"$489,300",94611
128,"$487,400",95135
129,"$484,500",94121
130,"$483,800",94403
131,"$482,300",94708
132,"$480,300",93924
133,"$478,200",94574
134,"$478,100",94924
135,"$474,100",92130
136,"$471,800",91356
137,"$467,900",94938
138,"$467,300",92075
139,"$466,700",92590
140,"$466,400",94707
141,"$465,400",94566
142,"$463,200",90048
143,"$462,000",93066
144,"$460,000",93067
145,"$459,600",95037
146,"$458,100",91403
147,"$457,700",91604
148,"$457,700",92091
149,"$453,900",95073
150,"$453,600",94704
151,"$452,600",90036
152,"$452,200",90064
153,"$452,000",94937
154,"$451,900",94037
155,"$451,700",95066
156,"$450,000",94021
157,"$450,000",94950
158,"$446,800",95618
159,"$446,000",90277
160,"$444,200",91361
161,"$444,100",94020
162,"$444,000",95130
163,"$442,400",91207
164,"$441,500",94043
165,"$441,400",94610
166,"$440,700",95008
167,"$440,000",95065
168,"$439,600",94102
169,"$439,100",92106
170,"$439,100",94903
171,"$434,200",93111
172,"$433,600",94949
173,"$432,600",90401
174,"$432,500",94923
175,"$432,400",90803
176,"$432,300",90035
177,"$430,900",94973
178,"$430,700",95003
179,"$429,900",95060
180,"$429,700",90056
181,"$429,500",94951
182,"$429,100",95124
183,"$428,100",94552
184,"$428,100",94930
185,"$427,800",93460
186,"$427,700",94583
187,"$426,100",94598
188,"$425,200",95134
189,"$425,000",94929
190,"$424,700",92679
191,"$423,900",90027
192,"$423,800",95126
193,"$423,100",94963
194,"$421,100",93908
195,"$420,100",93013
196,"$420,100",94086
197,"$417,400",93950
198,"$416,700",95043
199,"$415,000",95117
200,"$411,500",94060
201,"$411,200",94586
202,"$411,100",92648
203,"$410,000",92210
204,"$410,000",94122
205,"$408,200",94588
206,"$408,100",94132
207,"$405,600",93463
208,"$404,400",90025
209,"$402,400",93441
210,"$402,100",93940
211,"$402,000",95051
212,"$401,900",92887
213,"$401,500",95128
214,"$398,400",95010
215,"$397,100",94945
216,"$397,100",95497
217,"$395,500",93628
218,"$395,500",95746
219,"$395,000",94116
220,"$392,600",95050
221,"$392,400",91208
222,"$392,200",90005
223,"$392,000",95148
224,"$391,500",94595
225,"$390,800",95136
226,"$390,600",94709
227,"$390,500",91362
228,"$390,500",95118
229,"$389,900",94596
230,"$389,200",92673
231,"$388,500",91423
232,"$388,100",90704
233,"$387,900",93117
234,"$386,500",92629
235,"$386,400",94103
236,"$386,300",92109
237,"$385,300",90292
238,"$385,200",94005
239,"$385,100",95131
240,"$384,500",91030
241,"$384,500",94066
242,"$384,100",91007
243,"$383,900",91602
244,"$383,500",90505
245,"$382,700",92103
246,"$382,600",95442
247,"$382,000",95119
248,"$381,000",96145
249,"$378,500",93101
250,"$378,500",94947
251,"$377,900",92602
252,"$377,000",95062
253,"$376,500",92705
254,"$376,400",94401
255,"$375,800",91364
256,"$375,600",91301
257,"$373,500",95054
258,"$373,400",91377
259,"$373,000",95035
260,"$372,300",90291
261,"$371,900",90245
262,"$371,800",95123
263,"$371,600",94502
264,"$371,500",95139
265,"$371,400",94576
266,"$371,100",90004
267,"$371,100",90720
268,"$370,400",91106
269,"$370,400",92677
270,"$370,000",94922
271,"$369,200",91024
272,"$369,000",95132
273,"$368,800",94044
274,"$366,500",92624
275,"$364,500",95452
276,"$363,900",95465
277,"$362,900",94517
278,"$361,700",94110
279,"$361,500",95020
280,"$361,500",96148
281,"$361,200",92694
282,"$361,100",95472
283,"$360,700",92672
284,"$360,300",91206
285,"$358,400",90740
286,"$358,000",95017
287,"$355,700",92009
288,"$355,600",94089
289,"$355,000",92101
290,"$353,600",92007
291,"$351,900",92024
292,"$351,700",94080
293,"$351,700",95007
294,"$350,000",93623
295,"$350,000",96141
296,"$349,500",92121
297,"$348,600",94536
298,"$348,100",92131
299,"$347,800",90045
300,"$347,400",94015
301,"$347,300",94555
302,"$346,000",91202
303,"$345,400",92612
304,"$344,900",92649
