,Median_Rent_2014,zip
1,"$2,001",90067
2,"$2,001",90077
3,"$2,001",90094
4,"$2,001",90210
5,"$2,001",90265
6,"$2,001",90272
7,"$2,001",90274
8,"$2,001",90275
9,"$2,001",90292
10,"$2,001",91008
11,"$2,001",91011
12,"$2,001",91108
13,"$2,001",91210
14,"$2,001",91307
15,"$2,001",91377
16,"$2,001",91436
17,"$2,001",91708
18,"$2,001",91784
19,"$2,001",91914
20,"$2,001",91915
21,"$2,001",92067
22,"$2,001",92091
23,"$2,001",92118
24,"$2,001",92124
25,"$2,001",92130
26,"$2,001",92131
27,"$2,001",92282
28,"$2,001",92603
29,"$2,001",92618
30,"$2,001",92625
31,"$2,001",92657
32,"$2,001",92660
33,"$2,001",92673
34,"$2,001",92694
35,"$2,001",92782
36,"$2,001",92823
37,"$2,001",92861
38,"$2,001",92883
39,"$2,001",93108
40,"$2,001",93109
41,"$2,001",93432
42,"$2,001",93730
43,"$2,001",93923
44,"$2,001",93953
45,"$2,001",94022
46,"$2,001",94024
47,"$2,001",94027
48,"$2,001",94028
49,"$2,001",94065
50,"$2,001",94105
51,"$2,001",94107
52,"$2,001",94111
53,"$2,001",94127
54,"$2,001",94129
55,"$2,001",94158
56,"$2,001",94304
57,"$2,001",94404
58,"$2,001",94502
59,"$2,001",94505
60,"$2,001",94506
61,"$2,001",94507
62,"$2,001",94526
63,"$2,001",94552
64,"$2,001",94563
65,"$2,001",94592
66,"$2,001",94920
67,"$2,001",94957
68,"$2,001",94963
69,"$2,001",94970
70,"$2,001",95014
71,"$2,001",95054
72,"$2,001",95070
73,"$2,001",95120
74,"$2,001",95134
75,"$2,001",95138
76,"$2,001",95148
77,"$2,001",95391
78,"$2,001",95672
79,"$2,000",91354
80,"$1,994",94531
81,"$1,994",95762
82,"$1,989",94539
83,"$1,988",94708
84,"$1,987",90266
85,"$1,983",91302
86,"$1,978",92880
87,"$1,965",91301
88,"$1,963",90703
89,"$1,961",90290
90,"$1,958",91105
91,"$1,956",92679
92,"$1,952",92662
93,"$1,947",92055
94,"$1,942",96140
95,"$1,940",95030
96,"$1,925",94306
97,"$1,924",94301
98,"$1,918",91320
99,"$1,916",92011
100,"$1,908",91361
101,"$1,908",92807
102,"$1,907",92691
103,"$1,905",92014
104,"$1,902",90212
105,"$1,900",92614
106,"$1,899",94123
107,"$1,898",93111
108,"$1,896",92606
109,"$1,894",95119
110,"$1,889",94517
111,"$1,888",92612
112,"$1,887",92075
113,"$1,886",95121
114,"$1,885",91789
115,"$1,881",94568
116,"$1,875",95614
117,"$1,873",92508
118,"$1,872",90049
119,"$1,872",90743
120,"$1,869",94573
121,"$1,868",95131
122,"$1,865",90254
123,"$1,862",90024
124,"$1,862",94556
125,"$1,861",92620
126,"$1,861",92808
127,"$1,859",92651
128,"$1,858",94131
129,"$1,858",94403
130,"$1,857",92656
131,"$1,856",94588
132,"$1,854",94513
133,"$1,852",92010
134,"$1,849",90402
135,"$1,846",92007
136,"$1,845",92009
137,"$1,844",94114
138,"$1,843",92629
139,"$1,841",90713
140,"$1,839",94939
141,"$1,838",92602
142,"$1,837",93012
143,"$1,835",92127
144,"$1,834",94089
145,"$1,834",95742
146,"$1,833",94025
147,"$1,830",92860
148,"$1,827",92692
149,"$1,825",91709
150,"$1,825",95135
151,"$1,823",91913
152,"$1,823",92518
153,"$1,822",91362
154,"$1,822",94132
155,"$1,820",92677
156,"$1,818",90036
157,"$1,818",92653
158,"$1,817",92887
159,"$1,815",94965
160,"$1,812",94534
161,"$1,811",91360
162,"$1,811",91765
163,"$1,810",91364
164,"$1,810",95123
165,"$1,809",95377
166,"$1,808",94555
167,"$1,806",93510
168,"$1,802",92646
169,"$1,799",94044
170,"$1,798",94582
171,"$1,798",95035
172,"$1,787",91326
173,"$1,786",92123
174,"$1,780",91381
175,"$1,779",93924
176,"$1,779",94030
177,"$1,776",96073
178,"$1,773",90211
179,"$1,773",93035
180,"$1,773",94117
181,"$1,773",94599
182,"$1,772",92663
183,"$1,772",94535
