,Take Public Transp % in 2000,zip
1,58.9%,90017
2,44.4%,90057
3,43.0%,95431
4,42.6%,94102
5,39.9%,94103
6,39.1%,90014
7,37.0%,94130
8,36.3%,94110
9,36.2%,94109
10,35.6%,94117
11,34.2%,90005
12,33.9%,94115
13,32.6%,90015
14,32.6%,94104
15,32.4%,94114
16,31.5%,94118
17,31.3%,90058
18,31.2%,90006
19,31.1%,94121
20,31.0%,94112
21,29.7%,94108
22,29.6%,94123
23,29.5%,94122
24,28.6%,96123
25,28.1%,90013
26,27.7%,94133
27,27.4%,94116
28,27.2%,94609
29,27.1%,94612
30,26.7%,94607
31,26.0%,94134
32,25.7%,90011
33,25.6%,94131
34,25.6%,94132
35,25.6%,90029
36,25.0%,90021
37,24.9%,94124
38,24.7%,90037
39,24.4%,90038
40,24.3%,94710
41,23.8%,95064
42,22.5%,94703
43,22.0%,90033
44,21.6%,90004
45,21.2%,94127
46,21.2%,94964
47,21.0%,90020
48,20.7%,94129
49,20.6%,94530
50,20.3%,90026
51,20.3%,94702
52,19.7%,90813
53,19.5%,90007
54,19.5%,94014
55,19.4%,94608
56,19.3%,94709
57,19.1%,90028
58,18.8%,94107
59,18.8%,94706
60,18.3%,94606
61,18.3%,94601
62,18.2%,90023
63,18.1%,94965
64,17.8%,94610
65,17.8%,94618
66,17.4%,94704
67,17.3%,90003
68,17.2%,90001
69,16.7%,90062
70,16.6%,90018
71,16.5%,94621
72,16.2%,94596
73,16.2%,94111
74,16.1%,90019
75,16.1%,94015
76,16.0%,94804
77,15.9%,94501
78,15.8%,90044
79,15.8%,94602
80,15.8%,94705
81,15.7%,90031
82,15.7%,94801
83,15.5%,94939
84,15.3%,94502
85,15.1%,90063
86,14.8%,94563
87,14.7%,94611
88,14.5%,94598
89,14.4%,90012
90,14.3%,90255
91,14.2%,94707
92,14.1%,92113
93,13.8%,93234
94,13.6%,94901
95,13.5%,92102
96,13.1%,92701
97,13.1%,94708
98,13.0%,94805
99,12.9%,90022
100,12.9%,90802
101,12.8%,94605
102,12.7%,94556
103,12.4%,94603
104,12.3%,90002
105,12.2%,95814
106,12.2%,94549
107,12.1%,91402
108,12.1%,90059
109,12.0%,90016
110,11.6%,90270
111,11.6%,90304
112,11.4%,94577
113,11.4%,91405
114,11.4%,90010
115,11.3%,95112
116,11.3%,94523
117,11.0%,95110
118,11.0%,90008
119,10.9%,90201
120,10.9%,92703
121,10.7%,94619
122,10.7%,90027
123,10.6%,92101
124,10.5%,90042
125,10.4%,94518
126,10.3%,91204
127,10.2%,94904
128,10.2%,90061
129,10.2%,94806
130,10.2%,91411
131,10.1%,94520
132,10.1%,94941
133,10.0%,94920
134,9.9%,90032
135,9.7%,96143
136,9.7%,95655
137,9.7%,94960
138,9.7%,94105
139,9.6%,94578
140,9.6%,91606
141,9.5%,90043
142,9.3%,94080
143,9.3%,94925
144,9.2%,94595
145,9.2%,90065
146,9.2%,94521
147,9.2%,91205
148,9.1%,91605
149,9.0%,92173
150,9.0%,94903
151,8.9%,92104
152,8.9%,92105
153,8.8%,93701
154,8.6%,90301
155,8.5%,90047
156,8.5%,94949
157,8.4%,90303
158,8.4%,94517
159,8.4%,94565
160,8.4%,94947
161,8.4%,91731
162,8.3%,94519
163,8.2%,90404
164,8.2%,94579
165,8.2%,95116
166,8.1%,94930
167,8.1%,90280
168,8.0%,94066
169,8.0%,94547
170,8.0%,95202
171,8.0%,91303
172,8.0%,90262
173,7.9%,90220
174,7.9%,94037
175,7.8%,94044
176,7.8%,90034
177,7.8%,91343
178,7.7%,91401
179,7.7%,90806
180,7.7%,95817
181,7.7%,91601
182,7.7%,91103
183,7.5%,90302
184,7.5%,90221
185,7.5%,90744
186,7.5%,90804
187,7.4%,94401
188,7.4%,94552
189,7.3%,95126
190,7.3%,95815
191,7.2%,90066
192,7.2%,90025
193,7.2%,92805
194,7.2%,94803
195,7.2%,94541
196,7.1%,92706
197,7.1%,90222
198,7.0%,94544
199,7.0%,91732
200,7.0%,92707
201,6.9%,92704
202,6.9%,92802
203,6.9%,94580
204,6.8%,91331
205,6.7%,90232
206,6.7%,91406
207,6.6%,92627
208,6.6%,90810
209,6.6%,94040
210,6.5%,93702
211,6.5%,91932
212,6.5%,95616
213,6.4%,91963
214,6.4%,90039
215,6.3%,93101
216,6.3%,90805
217,6.3%,95816
218,6.3%,92832
219,6.3%,94010
220,6.3%,90250
221,6.2%,90640
222,6.2%,91945
223,6.2%,94587
224,6.2%,95122
225,6.2%,94402
226,6.2%,91950
227,6.2%,95060
228,6.2%,90260
229,6.1%,90041
230,6.1%,91352
231,6.1%,93721
232,6.0%,92401
233,6.0%,94063
234,6.0%,91335
235,6.0%,94945
236,6.0%,95111
237,5.9%,94590
238,5.9%,94564
239,5.9%,95818
240,5.9%,92154
241,5.9%,93255
242,5.9%,94553
243,5.8%,91792
244,5.8%,94536
245,5.8%,94546
246,5.8%,91340
247,5.7%,90291
248,5.7%,92116
249,5.7%,95318
250,5.6%,90040
251,5.6%,91733
252,5.6%,96046
253,5.6%,91767
254,5.6%,90680
255,5.6%,93608
256,5.6%,93103
257,5.6%,94542
258,5.6%,94538
259,5.6%,95537
260,5.5%,93305
261,5.5%,93955
262,5.5%,91911
263,5.5%,94005
264,5.5%,92411
265,5.5%,94545
266,5.4%,94555
267,5.3%,94568
268,5.3%,92801
269,5.3%,91042
270,5.3%,92843
271,5.3%,91723
272,5.2%,93706
273,5.2%,90064
274,5.2%,95826
275,5.2%,91104
276,5.2%,94030
277,5.2%,90046
278,5.2%,90247
279,5.1%,92111
280,5.1%,94938
281,5.1%,91744
282,5.1%,94507
283,5.1%,91770
284,5.1%,95827
285,5.0%,94086
286,5.0%,94588
287,5.0%,95113
288,5.0%,95545
289,5.0%,95960
290,5.0%,91607
291,5.0%,91776
292,5.0%,92115
293,5.0%,95820
294,5.0%,91706
295,5.0%,95832
296,5.0%,95117
297,4.9%,92114
298,4.9%,94526
299,4.9%,91801
300,4.9%,91768
301,4.9%,94583
302,4.9%,90710
303,4.9%,91746
304,4.8%,94566
305,4.8%,95821
306,4.8%,91304
307,4.8%,95046
308,4.8%,94403
309,4.7%,93650
310,4.7%,90249
311,4.7%,91321
312,4.6%,94303
313,4.6%,92103
314,4.6%,92408
315,4.6%,92655
316,4.6%,90602
317,4.6%,91106
318,4.6%,91306
319,4.6%,93647
320,4.6%,92275
321,4.5%,93285
322,4.5%,93117
323,4.5%,91754
324,4.5%,92020
325,4.5%,94506
326,4.5%,94954
327,4.5%,94591
328,4.4%,90024
329,4.4%,90401
330,4.4%,94061
331,4.4%,93301
332,4.4%,91910
333,4.3%,94510
334,4.3%,95822
335,4.3%,91766
336,4.3%,94509
337,4.3%,91755
338,4.3%,90621
339,4.3%,95672
340,4.2%,91356
341,4.2%,94952
342,4.2%,95605
343,4.2%,94589
344,4.2%,93905
345,4.2%,95824
346,4.2%,91203
347,4.2%,93546
348,4.2%,91502
349,4.1%,92804
350,4.1%,95442
351,4.1%,91791
352,4.1%,91201
353,4.1%,92840
354,4.1%,90036
355,4.1%,91324
356,4.1%,94306
357,4.1%,94404
358,4.0%,92110
359,4.0%,95037
360,4.0%,94089
361,4.0%,91803
362,4.0%,91345
363,4.0%,90731
364,4.0%,92518
365,4.0%,94931
366,3.9%,90035
367,3.9%,90660
368,3.9%,95254
369,3.9%,95444
370,3.9%,95449
371,3.9%,95819
372,3.9%,92347
373,3.9%,93641
374,3.9%,95007
375,3.9%,93925
376,3.9%,94025
377,3.8%,92404
378,3.8%,95833
379,3.8%,92025
380,3.8%,95825
381,3.8%,90723
382,3.8%,91101
383,3.7%,90704
384,3.7%,94002
385,3.7%,91722
386,3.7%,90230
387,3.7%,95062
388,3.7%,91702
389,3.7%,94070
390,3.7%,92368
391,3.7%,96150
392,3.6%,92866
393,3.6%,90242
394,3.6%,94065
395,3.6%,95118
396,3.6%,95660
