,public_transportation_2014,zip
1,100.0%,92304
2,100.0%,94128
3,72.7%,93634
4,47.8%,90073
5,47.6%,94130
6,47.3%,94102
7,45.1%,90057
8,43.4%,94158
9,37.7%,94110
10,37.4%,90017
11,37.4%,94109
12,37.1%,94117
13,36.7%,94114
14,36.6%,94612
15,35.8%,94103
16,35.1%,90005
17,34.7%,90006
18,34.4%,94112
19,33.9%,94123
20,33.4%,94115
21,33.3%,94118
22,31.9%,94121
23,30.0%,94122
24,29.9%,94131
25,29.8%,94134
26,29.7%,94569
27,29.6%,90029
28,29.0%,94132
29,28.5%,90021
30,28.3%,94108
31,28.2%,94116
32,28.2%,94104
33,27.4%,90015
34,26.7%,94607
35,26.7%,94929
36,26.5%,94124
37,26.5%,94609
38,26.2%,94107
39,25.6%,94133
40,25.2%,93426
41,24.8%,94608
42,24.5%,94129
43,24.4%,94706
44,23.8%,94530
45,23.7%,90037
46,23.2%,94014
47,23.2%,94127
48,23.1%,90004
49,23.0%,94703
50,22.9%,94704
51,22.7%,90038
52,22.1%,90020
53,21.8%,90011
54,21.7%,94702
55,21.1%,94618
56,20.9%,95553
57,20.3%,94606
58,20.3%,94707
59,20.2%,94705
60,20.2%,94597
61,20.2%,94601
62,18.9%,94709
63,18.9%,90019
64,18.7%,90014
65,18.6%,90026
66,18.1%,90033
67,17.7%,90062
68,17.7%,90007
69,17.6%,90813
70,17.6%,90018
71,17.5%,90003
72,17.4%,94015
73,17.2%,90013
74,17.2%,94105
75,16.8%,94610
76,16.7%,90001
77,16.7%,94598
78,16.7%,94611
79,16.6%,90028
80,16.4%,94111
81,16.4%,95646
82,16.4%,94939
83,16.3%,94549
84,16.1%,94501
85,16.1%,94965
86,15.7%,94556
87,15.7%,94708
88,15.6%,94563
89,15.6%,90044
90,15.6%,90058
91,15.3%,95064
92,15.3%,94502
93,15.2%,94602
94,15.1%,94596
95,15.0%,90023
96,15.0%,94805
97,14.9%,94710
98,14.8%,94621
99,14.6%,94619
100,14.5%,94804
101,14.2%,94605
102,14.0%,90031
103,13.9%,90008
104,13.8%,94523
105,13.7%,90002
106,13.2%,94801
107,13.1%,90016
108,13.0%,95431
109,12.9%,91405
110,12.8%,90063
111,12.7%,95389
112,12.6%,95595
113,12.6%,91601
114,12.6%,91402
115,12.5%,90255
116,12.5%,94578
117,12.4%,94552
118,12.3%,95113
119,11.9%,94920
120,11.8%,94595
121,11.8%,94901
122,11.5%,90061
123,11.5%,94519
124,11.4%,94005
125,11.3%,90802
126,11.3%,94010
127,11.2%,94030
128,11.1%,90027
129,11.1%,90022
130,11.0%,90012
131,11.0%,94080
132,11.0%,94603
133,10.9%,94577
134,10.7%,94038
135,10.7%,94806
136,10.6%,90025
137,10.6%,94960
138,10.6%,94066
139,10.5%,90065
140,10.5%,90059
141,10.5%,94518
142,10.4%,94520
143,10.4%,95452
144,10.3%,94547
145,10.3%,92102
146,10.3%,92701
147,10.1%,93101
148,10.1%,94536
149,10.0%,90806
150,10.0%,94925
151,9.9%,91303
152,9.9%,94580
153,9.9%,90042
154,9.9%,91401
155,9.9%,94579
156,9.8%,94568
157,9.7%,94565
158,9.7%,96011
159,9.7%,90034
160,9.5%,90032
161,9.5%,94538
162,9.4%,93546
163,9.4%,91406
164,9.3%,94541
165,9.3%,90303
166,9.1%,96148
167,9.1%,90047
168,9.1%,90304
169,9.1%,94903
170,8.9%,90301
171,8.9%,96141
172,8.7%,94401
173,8.7%,94803
174,8.7%,94949
175,8.6%,91343
176,8.5%,94588
177,8.4%,93928
178,8.4%,94904
179,8.4%,95110
180,8.3%,90010
181,8.3%,94613
182,8.2%,94587
183,8.2%,91606
184,8.2%,94546
185,8.1%,94517
186,8.1%,94941
187,8.1%,94542
188,8.1%,94521
189,8.0%,94938
190,8.0%,95568
191,8.0%,91204
192,7.9%,95112
193,7.9%,90804
194,7.9%,95126
195,7.8%,92401
196,7.8%,95811
197,7.8%,92113
198,7.8%,90280
199,7.7%,92802
200,7.6%,94544
201,7.5%,94566
202,7.5%,91731
203,7.4%,94044
204,7.4%,91352
205,7.3%,90270
206,7.3%,90220
207,7.3%,90404
208,7.3%,94525
209,7.3%,90066
210,7.3%,90250
211,7.3%,90043
212,7.2%,91411
213,7.2%,92122
214,7.2%,94403
215,7.2%,94507
216,7.1%,95618
217,7.1%,91103
218,7.1%,94971
219,7.1%,92703
220,7.1%,91101
221,7.1%,94555
222,7.0%,92706
223,7.0%,94306
224,7.0%,90249
225,7.0%,90302
226,7.0%,94509
227,7.0%,92101
228,6.9%,94041
229,6.9%,94564
230,6.8%,92105
231,6.8%,94720
232,6.7%,94582
233,6.7%,92173
234,6.7%,94040
235,6.7%,91335
236,6.6%,90221
237,6.6%,91950
238,6.6%,90744
239,6.6%,93955
240,6.5%,94402
241,6.5%,91605
242,6.5%,94531
243,6.5%,93238
244,6.5%,92518
245,6.4%,95814
246,6.4%,90201
247,6.4%,91304
248,6.4%,95615
249,6.4%,94592
250,6.4%,90810
251,6.4%,90805
252,6.3%,91205
253,6.2%,94545
254,6.2%,91206
255,6.2%,96145
256,6.2%,94945
257,6.2%,95653
258,6.2%,94526
259,6.1%,95962
260,6.1%,90262
261,6.1%,91331
262,6.1%,96106
263,6.1%,94930
264,6.1%,94063
265,6.0%,90716
266,6.0%,90222
267,6.0%,92704
268,6.0%,94086
269,6.0%,91030
270,6.0%,91306
271,5.9%,96015
272,5.9%,91732
273,5.9%,92805
274,5.9%,95817
275,5.8%,91330
276,5.8%,92111
277,5.8%,93243
278,5.7%,90305
279,5.7%,90041
280,5.7%,94535
281,5.6%,95060
282,5.5%,91104
283,5.4%,92707
284,5.4%,91325
285,5.4%,95116
286,5.4%,90640
287,5.4%,94002
288,5.4%,90621
289,5.4%,93204
290,5.3%,91201
291,5.3%,95684
292,5.3%,91106
293,5.3%,90723
294,5.3%,94957
295,5.3%,95776
296,5.3%,95826
297,5.3%,93103
298,5.3%,94404
299,5.3%,94539
300,5.2%,95050
301,5.2%,91356
302,5.2%,94553
303,5.2%,92115
304,5.1%,92108
305,5.1%,94590
306,5.1%,91607
307,5.1%,92104
308,5.1%,93117
309,5.1%,92116
310,5.1%,90710
311,5.1%,95616
312,5.0%,90263
313,5.0%,92281
314,5.0%,91702
315,4.9%,90024
316,4.9%,96140
317,4.9%,94070
318,4.8%,95619
319,4.8%,95818
320,4.8%,91733
321,4.8%,94065
322,4.8%,92804
323,4.8%,95827
324,4.8%,90247
325,4.8%,93283
326,4.8%,95133
327,4.8%,95139
328,4.8%,96142
329,4.8%,90680
330,4.7%,93650
331,4.7%,94301
332,4.7%,91767
333,4.7%,96025
334,4.7%,92154
335,4.7%,94043
336,4.7%,92114
337,4.7%,95820
338,4.6%,94560
339,4.6%,91945
340,4.6%,94304
341,4.6%,91105
342,4.6%,94591
343,4.6%,90248
344,4.6%,95819
345,4.6%,90706
346,4.6%,94583
347,4.6%,92037
348,4.6%,91107
349,4.6%,94510
350,4.6%,93234
351,4.5%,93701
352,4.5%,95318
353,4.5%,91706
354,4.5%,91911
355,4.5%,92806
356,4.5%,90064
357,4.5%,90501
358,4.5%,90814
359,4.5%,93110
360,4.5%,93430
361,4.5%,90403
362,4.5%,90717
363,4.5%,95816
364,4.5%,92832
365,4.5%,93940
366,4.4%,93721
367,4.4%,93728
368,4.4%,91724
369,4.4%,93434
370,4.4%,90230
371,4.4%,90807
372,4.4%,91324
373,4.4%,95670
374,4.4%,90731
375,4.4%,90291
376,4.4%,95832
377,4.4%,92801
378,4.4%,94085
379,4.3%,96143
380,4.3%,91342
381,4.3%,93266
382,4.3%,94062
383,4.3%,94506
384,4.3%,91748
385,4.3%,90035
386,4.3%,95831
387,4.3%,91755
388,4.3%,95834
389,4.3%,95825
390,4.3%,91932
391,4.3%,94087
392,4.2%,94027
393,4.2%,95125
394,4.2%,92059
395,4.2%,93550
396,4.2%,95823
397,4.2%,94973
398,4.2%,91505
399,4.2%,94303
400,4.2%,95446
401,4.1%,90602
402,4.1%,91792
403,4.1%,91010
404,4.1%,95821
405,4.1%,90212
406,4.1%,95122
407,4.1%,92020
408,4.1%,95111
409,4.0%,90046
410,4.0%,91351
411,4.0%,91340
412,4.0%,95134
413,4.0%,94947
414,4.0%,90039
415,3.9%,91602
416,3.9%,95822
417,3.9%,91711
418,3.9%,91722
419,3.9%,91754
420,3.9%,92405
421,3.9%,92505
422,3.8%,91776
423,3.8%,94025
424,3.8%,94550
425,3.8%,92411
426,3.8%,92840
427,3.8%,91321
428,3.8%,96093
429,3.8%,90743
430,3.8%,91006
431,3.8%,94089
432,3.8%,95127
433,3.7%,92627
434,3.7%,92833
435,3.7%,91007
436,3.7%,91801
437,3.7%,91910
438,3.7%,92103
439,3.6%,94561
440,3.6%,95019
441,3.6%,93436
442,3.6%,90660
443,3.6%,94964
444,3.6%,92843
445,3.6%,95211
446,3.6%,95937
447,3.6%,91001
448,3.6%,91311
449,3.6%,94572
450,3.6%,95462
451,3.6%,91780
452,3.6%,92117
453,3.5%,95815
454,3.5%,90068
455,3.5%,91203
456,3.5%,90601
457,3.5%,93726
458,3.5%,94551
459,3.5%,91008
460,3.5%,90650
461,3.5%,92865
462,3.5%,90715
463,3.5%,91316
464,3.5%,91723
465,3.5%,95527
466,3.4%,90401
467,3.4%,91387
468,3.4%,92637
469,3.4%,94305
470,3.4%,96014
471,3.4%,91744
472,3.4%,95065
473,3.4%,92008
474,3.4%,91746
475,3.4%,91803
476,3.4%,95051
477,3.4%,92110
478,3.4%,90746
479,3.3%,90036
480,3.3%,90211
481,3.3%,90242
482,3.3%,91790
483,3.3%,93933
484,3.3%,90631
485,3.3%,91791
486,3.3%,92011
487,3.3%,92844
488,3.3%,92234
489,3.3%,95457
490,3.3%,95628
491,3.3%,95758
492,3.3%,94061
493,3.2%,95202
494,3.2%,95128
495,3.2%,95423
496,3.2%,92831
497,3.2%,95008
498,3.2%,95838
499,3.2%,91024
500,3.2%,93702
501,3.2%,90241
502,3.2%,90670
