,total_pop_2000,zip
1,105275,90201
2,103211,90650
3,101214,90011
4,98226,92054
5,97300,91331
6,96260,90280
7,93314,90250
8,91663,90805
9,91176,92704
10,90879,94509
11,88225,92683
12,87366,90044
13,84950,91744
14,82612,92335
15,81970,91342
16,81317,92804
17,81136,95076
18,79717,93030
19,78813,94565
20,78104,90255
21,77785,93033
22,77666,94533
23,76889,91706
24,75925,94550
25,75875,92376
26,75314,91710
27,74633,94110
28,74222,92126
29,74009,91910
30,73671,90026
31,73104,94112
32,72994,92105
33,72984,94544
34,72878,90706
35,72194,95823
36,71670,92503
37,71124,91911
38,70003,92703
39,69968,91766
40,69830,90262
41,69786,95376
42,68796,92805
43,68764,92154
44,68688,90022
45,68501,92345
46,68002,91335
47,67850,90004
48,67510,90019
49,67407,95616
50,67353,90631
51,67213,93550
52,66837,92114
53,66734,91709
54,66533,94536
55,66457,94587
56,66241,91402
57,65552,93257
58,64785,93065
59,64660,90042
60,63997,92509
61,63997,94086
62,63932,94558
63,63317,94015
64,63277,90660
65,63228,92392
66,63144,95687
67,63129,90813
68,62840,95035
69,62765,90006
70,62659,91732
71,62627,92707
72,62416,90640
73,62335,91950
74,62099,92677
75,62066,92627
76,62030,92083
77,61868,92021
78,61605,91770
79,61203,92553
80,60879,93722
81,60609,95127
82,60592,94080
83,60541,92801
84,60281,92882
85,60254,94541
86,59822,95122
87,59621,95123
88,59285,95340
89,59257,91351
90,59179,93307
91,59167,92630
92,58819,95608
93,58761,92647
94,58622,90731
95,58612,93309
96,58537,93905
97,58535,94501
98,58199,90034
99,58187,90003
100,58151,92701
101,57791,93535
102,57765,91702
103,57735,95111
104,57129,91605
105,57001,91343
106,56883,92115
107,56691,90037
108,56501,92646
109,56322,94109
110,56296,92201
111,56271,91761
112,56111,94538
113,56098,91977
114,56097,93274
115,55719,94806
116,55666,90063
117,55492,94122
118,55473,90745
119,55305,90723
120,55266,92020
121,55194,90066
122,55047,92780
123,54862,95828
124,54857,94601
125,54681,93727
126,54585,92336
127,54530,92708
128,54481,90001
129,54412,95014
130,54381,91801
131,54243,91762
132,53938,93906
133,53682,91745
134,53634,92404
135,53502,92071
136,53466,93306
137,53308,90744
138,53201,93230
139,52972,95051
140,52894,92056
141,52862,95350
