,White Population % in 2000,zip
1,100.0%,90263
2,100.0%,91743
3,100.0%,92338
4,100.0%,95232
5,100.0%,95735
6,100.0%,95736
7,98.7%,96106
8,98.7%,95041
9,98.6%,95986
10,98.1%,95601
11,97.8%,95427
12,97.7%,90743
13,97.6%,96016
14,97.5%,91948
15,97.5%,95497
16,97.4%,95493
17,97.3%,96141
18,97.2%,93664
19,97.1%,91759
20,97.0%,93530
21,96.8%,95251
22,96.7%,96132
23,96.7%,95936
24,96.6%,95689
25,96.6%,95701
26,96.4%,92210
27,96.3%,96063
28,96.2%,93208
29,96.2%,95956
30,96.1%,96061
31,96.1%,95717
32,96.0%,96103
33,95.9%,95257
34,95.9%,95549
35,95.9%,95545
36,95.9%,95558
37,95.6%,95432
38,95.6%,95325
39,95.6%,95722
40,95.6%,96145
41,95.4%,95984
42,95.3%,96062
43,95.3%,95666
44,95.2%,93623
45,95.2%,95613
46,95.2%,96140
47,95.2%,95614
48,95.1%,93424
49,95.1%,95949
50,95.1%,94970
51,95.1%,95223
52,95.0%,95221
53,95.0%,92268
54,95.0%,92662
55,95.0%,95335
56,94.9%,95946
57,94.9%,92091
58,94.8%,95635
59,94.8%,95456
60,94.7%,93260
61,94.7%,93262
62,94.7%,95460
63,94.7%,95728
64,94.7%,96124
65,94.7%,95633
66,94.7%,96076
67,94.6%,95651
68,94.5%,95424
69,94.5%,95629
70,94.4%,95942
71,94.4%,94074
72,94.4%,96051
73,94.4%,94973
74,94.3%,95910
75,94.3%,95954
76,94.3%,96146
77,94.3%,93921
78,94.2%,95224
79,94.2%,92661
80,94.2%,96126
81,94.1%,93435
82,94.0%,94929
83,94.0%,95247
84,94.0%,95923
85,94.0%,96142
86,94.0%,96105
87,94.0%,96008
88,93.9%,93067
89,93.9%,96125
90,93.8%,95959
91,93.8%,95978
92,93.7%,93108
93,93.7%,95623
94,93.7%,91962
95,93.7%,95383
96,93.7%,95233
97,93.7%,96006
98,93.6%,96033
99,93.6%,95642
100,93.5%,93604
101,93.5%,95726
102,93.5%,95969
103,93.5%,95945
104,93.5%,93923
105,93.4%,92317
106,93.4%,92341
107,93.4%,96115
108,93.4%,95542
109,93.4%,92321
110,93.4%,95684
111,93.4%,96020
112,93.3%,95715
113,93.3%,96087
114,93.2%,93285
115,93.2%,95245
116,93.1%,96073
117,93.1%,95370
118,93.1%,95364
119,93.1%,96088
120,93.1%,95634
121,93.1%,96118
122,93.1%,96015
123,93.0%,95346
124,93.0%,95452
125,93.0%,93276
126,93.0%,95426
127,93.0%,93430
128,93.0%,92625
129,93.0%,95713
130,92.9%,92060
131,92.9%,92067
132,92.9%,95602
133,92.9%,92270
134,92.9%,95631
135,92.8%,96067
136,92.8%,96114
137,92.7%,94904
138,92.7%,95321
139,92.6%,94595
140,92.6%,95306
141,92.6%,95938
142,92.6%,95603
143,92.6%,95682
144,92.5%,94028
145,92.5%,95310
146,92.5%,95975
147,92.5%,93924
148,92.4%,95960
149,92.4%,93207
150,92.4%,95410
151,92.4%,94960
152,92.3%,94939
153,92.3%,93605
154,92.2%,96137
155,92.2%,94021
156,92.2%,95672
157,92.2%,95685
158,92.1%,94951
159,92.1%,95665
160,92.1%,95249
161,92.1%,95971
162,92.1%,95033
163,92.1%,92651
164,92.0%,93614
165,92.0%,96128
166,92.0%,95372
167,91.9%,93224
168,91.9%,95919
169,91.8%,92663
170,91.8%,95553
171,91.8%,91916
172,91.8%,94599
173,91.8%,95462
174,91.8%,95465
175,91.8%,95667
176,91.8%,95983
177,91.8%,95675
178,91.8%,96117
179,91.8%,96096
180,91.7%,95005
181,91.7%,95709
182,91.7%,95589
183,91.7%,96048
184,91.7%,96034
185,91.7%,94569
186,91.7%,92549
187,91.7%,95636
188,91.6%,95547
189,91.6%,95664
190,91.6%,94924
191,91.6%,95669
192,91.6%,93205
193,91.6%,93265
194,91.6%,94956
195,91.5%,92660
196,91.5%,93522
197,91.5%,92014
198,91.5%,92280
199,91.5%,94930
200,91.5%,95311
201,91.4%,95536
202,91.4%,96029
203,91.4%,96119
204,91.4%,93953
205,91.4%,90272
206,91.4%,92036
207,91.4%,95703
208,91.4%,96093
209,91.4%,96110
210,91.4%,93449
211,91.3%,95006
212,91.3%,94920
213,91.3%,95254
214,91.3%,93465
215,91.3%,94576
216,91.3%,93428
217,91.3%,95962
218,91.2%,92333
219,91.2%,93240
220,91.2%,92315
221,91.1%,95658
222,91.1%,95663
223,91.1%,95977
224,91.1%,95918
225,91.1%,92397
226,91.0%,93432
227,91.0%,92305
228,91.0%,92256
229,91.0%,95461
230,91.0%,95714
231,91.0%,95524
232,90.9%,90290
233,90.9%,93441
234,90.9%,93528
235,90.9%,95246
236,90.8%,96038
237,90.8%,95746
238,90.8%,96059
239,90.8%,93238
240,90.7%,92285
241,90.7%,95445
242,90.7%,95638
243,90.7%,96069
244,90.7%,96057
245,90.7%,95922
246,90.7%,95618
247,90.7%,92211
248,90.7%,93222
249,90.6%,96064
250,90.6%,95930
251,90.6%,93453
252,90.6%,96037
253,90.5%,96003
254,90.5%,91361
255,90.5%,95762
256,90.4%,92676
257,90.4%,96024
258,90.4%,95436
259,90.4%,93527
260,90.4%,94507
261,90.4%,95227
262,90.4%,92352
263,90.4%,92314
264,90.3%,95222
265,90.3%,96104
266,90.3%,96046
267,90.3%,96052
268,90.3%,93651
269,90.3%,90742
270,90.2%,92066
271,90.2%,95650
272,90.2%,96022
273,90.2%,95683
274,90.2%,96050
275,90.1%,95925
276,90.1%,93271
277,90.1%,96025
278,90.0%,94037
279,90.0%,94511
280,90.0%,95559
281,90.0%,96091
282,90.0%,95528
283,89.9%,91436
284,89.9%,93653
285,89.9%,93255
286,89.9%,95552
287,89.9%,95941
288,89.9%,95944
289,89.8%,92673
290,89.8%,94941
291,89.8%,96009
292,89.8%,96001
293,89.8%,95228
294,89.8%,94971
295,89.7%,95527
296,89.7%,90402
297,89.7%,95338
298,89.6%,95677
299,89.6%,93442
300,89.6%,90254
301,89.6%,95003
302,89.6%,92586
303,89.6%,92372
304,89.5%,93463
305,89.5%,95662
306,89.5%,92106
