,white_pop_2014,zip
1,100.0%,91948
2,100.0%,92060
3,100.0%,92266
4,100.0%,92304
5,100.0%,92332
6,100.0%,92333
7,100.0%,92341
8,100.0%,92364
9,100.0%,92378
10,100.0%,92384
11,100.0%,92389
12,100.0%,93208
13,100.0%,93220
14,100.0%,93276
15,100.0%,93429
16,100.0%,93519
17,100.0%,93522
18,100.0%,93554
19,100.0%,93592
20,100.0%,93645
21,100.0%,93943
22,100.0%,94074
23,100.0%,94569
24,100.0%,94950
25,100.0%,94963
26,100.0%,94972
27,100.0%,95007
28,100.0%,95041
29,100.0%,95140
30,100.0%,95224
31,100.0%,95226
32,100.0%,95233
33,100.0%,95234
34,100.0%,95251
35,100.0%,95305
36,100.0%,95313
37,100.0%,95325
38,100.0%,95375
39,100.0%,95427
40,100.0%,95435
41,100.0%,95443
42,100.0%,95463
43,100.0%,95486
44,100.0%,95488
45,100.0%,95511
46,100.0%,95545
47,100.0%,95559
48,100.0%,95571
49,100.0%,95587
50,100.0%,95604
51,100.0%,95625
52,100.0%,95629
53,100.0%,95679
54,100.0%,95698
55,100.0%,95714
56,100.0%,95720
57,100.0%,95721
58,100.0%,95728
59,100.0%,95735
60,100.0%,95910
61,100.0%,95923
62,100.0%,95930
63,100.0%,95936
64,100.0%,95944
65,100.0%,95983
66,100.0%,95986
67,100.0%,96046
68,100.0%,96061
69,100.0%,96071
70,100.0%,96105
71,100.0%,96108
72,100.0%,96111
73,100.0%,96116
74,100.0%,96119
75,100.0%,96121
76,100.0%,96129
77,100.0%,96133
78,100.0%,96140
79,99.8%,93932
80,99.6%,93285
81,99.4%,96087
82,99.4%,93244
83,99.3%,96006
84,99.2%,96090
85,99.1%,96115
86,99.0%,95943
87,99.0%,94970
88,98.8%,92268
89,98.7%,95497
90,98.6%,95527
91,98.5%,92259
92,98.5%,96110
93,98.4%,91759
94,98.2%,92386
95,98.2%,91931
96,98.2%,95701
97,98.2%,96029
98,98.0%,95311
99,98.0%,94923
100,97.9%,95465
101,97.9%,95526
102,97.9%,96125
103,97.8%,96049
104,97.8%,92662
105,97.8%,96063
106,97.7%,95962
107,97.7%,96016
108,97.7%,95726
109,97.7%,93255
110,97.6%,95075
111,97.5%,95651
112,97.5%,93651
113,97.4%,93238
114,97.3%,96037
115,97.2%,95245
116,97.2%,95614
117,97.1%,95914
118,97.1%,96091
119,97.1%,94973
120,97.0%,93962
121,97.0%,96114
122,97.0%,93558
123,97.0%,95383
124,97.0%,93226
125,96.9%,93925
126,96.9%,95601
127,96.9%,96056
128,96.9%,92372
129,96.6%,95920
130,96.6%,93424
131,96.6%,95635
132,96.4%,95549
133,96.3%,95715
134,96.2%,95689
135,96.2%,93240
136,96.2%,92339
137,96.1%,95247
138,96.1%,94957
139,96.0%,95471
140,95.9%,95955
141,95.8%,96104
142,95.8%,96146
143,95.7%,92397
144,95.7%,95321
145,95.7%,95536
146,95.6%,96145
147,95.6%,95669
148,95.6%,96069
149,95.5%,96161
150,95.5%,95631
151,95.5%,94514
152,95.4%,93207
153,95.3%,95636
154,95.3%,93601
155,95.3%,96118
156,95.3%,95947
157,95.2%,93251
158,95.1%,96103
159,95.1%,95335
160,95.1%,96033
161,95.0%,92549
162,95.0%,96048
163,94.9%,93603
164,94.9%,95316
165,94.6%,93224
166,94.6%,95254
167,94.6%,95228
168,94.5%,96134
169,94.5%,93442
170,94.4%,96123
171,94.4%,95938
172,94.3%,96107
173,94.3%,96013
174,94.2%,95222
175,94.2%,95664
176,94.2%,95949
177,94.2%,95310
178,94.2%,95045
179,94.1%,95942
180,94.1%,92322
181,94.0%,95232
182,94.0%,95372
183,94.0%,91963
184,94.0%,92036
185,93.9%,95684
186,93.9%,96117
187,93.8%,93923
188,93.8%,95665
189,93.8%,95713
190,93.8%,93272
191,93.8%,91962
192,93.8%,95387
193,93.7%,95722
194,93.7%,96141
195,93.7%,94511
196,93.7%,92385
197,93.7%,95550
198,93.7%,93669
199,93.6%,91917
200,93.5%,95429
201,93.5%,95623
202,93.5%,93644
203,93.5%,94020
204,93.3%,94940
205,93.3%,95452
206,93.3%,93249
207,93.3%,93430
208,93.2%,95969
209,93.2%,96132
210,93.2%,95634
211,93.2%,93225
212,93.2%,95456
213,93.2%,96124
214,93.2%,95650
215,93.1%,93532
216,93.1%,93660
217,93.1%,93265
218,93.1%,96044
219,93.1%,96062
220,93.0%,96040
221,92.9%,96020
222,92.9%,95223
223,92.9%,92091
224,92.8%,91210
225,92.8%,95954
226,92.7%,95257
227,92.7%,94037
228,92.7%,95248
229,92.7%,95619
230,92.6%,93926
231,92.6%,93453
232,92.6%,95956
233,92.5%,95682
234,92.4%,96067
235,92.4%,93527
236,92.4%,95006
237,92.4%,92067
238,92.4%,93626
239,92.3%,93222
240,92.3%,94567
241,92.3%,93664
242,92.3%,95945
243,92.3%,96057
244,92.3%,95982
245,92.2%,93432
246,92.2%,96109
247,92.2%,96142
248,92.2%,96137
249,92.1%,93449
250,92.1%,95018
251,92.1%,95562
252,92.1%,95553
253,92.1%,95612
254,92.0%,93920
255,92.0%,95685
256,92.0%,94548
257,92.0%,93271
258,91.9%,95703
259,91.9%,92676
260,91.8%,95658
261,91.8%,95589
262,91.8%,94937
263,91.7%,92109
264,91.7%,93428
265,91.6%,95946
266,91.6%,95017
267,91.5%,95970
268,91.5%,94920
269,91.4%,93205
270,91.3%,95524
