,house_median_value_2014,zip
1,"$1,000,001",90024
2,"$1,000,001",90049
3,"$1,000,001",90077
4,"$1,000,001",90210
5,"$1,000,001",90211
6,"$1,000,001",90212
7,"$1,000,001",90254
8,"$1,000,001",90265
9,"$1,000,001",90266
10,"$1,000,001",90272
11,"$1,000,001",90274
12,"$1,000,001",90291
13,"$1,000,001",90402
14,"$1,000,001",90405
15,"$1,000,001",90742
16,"$1,000,001",90743
17,"$1,000,001",91011
18,"$1,000,001",91108
19,"$1,000,001",91436
20,"$1,000,001",92014
21,"$1,000,001",92037
22,"$1,000,001",92067
23,"$1,000,001",92118
24,"$1,000,001",92145
25,"$1,000,001",92603
26,"$1,000,001",92625
27,"$1,000,001",92651
28,"$1,000,001",92657
29,"$1,000,001",92660
30,"$1,000,001",92661
31,"$1,000,001",92662
32,"$1,000,001",92663
33,"$1,000,001",93108
34,"$1,000,001",93920
35,"$1,000,001",93921
36,"$1,000,001",94010
37,"$1,000,001",94022
38,"$1,000,001",94024
39,"$1,000,001",94025
40,"$1,000,001",94027
41,"$1,000,001",94028
42,"$1,000,001",94040
43,"$1,000,001",94062
44,"$1,000,001",94104
45,"$1,000,001",94114
46,"$1,000,001",94118
47,"$1,000,001",94123
48,"$1,000,001",94129
49,"$1,000,001",94301
50,"$1,000,001",94303
51,"$1,000,001",94304
52,"$1,000,001",94305
53,"$1,000,001",94306
54,"$1,000,001",94402
55,"$1,000,001",94507
56,"$1,000,001",94528
57,"$1,000,001",94904
58,"$1,000,001",94920
59,"$1,000,001",94939
60,"$1,000,001",94940
61,"$1,000,001",94941
62,"$1,000,001",94946
63,"$1,000,001",94957
64,"$1,000,001",94970
65,"$1,000,001",95014
66,"$1,000,001",95030
67,"$1,000,001",95032
68,"$1,000,001",95070
69,"$1,000,001",95140
70,"$988,200",91302
71,"$987,500",94563
72,"$984,400",90067
73,"$980,800",90048
74,"$979,000",94115
75,"$976,600",94549
76,"$972,200",91008
77,"$970,700",90036
78,"$963,500",92075
79,"$959,000",94506
80,"$958,900",90068
81,"$956,200",92091
82,"$953,900",94133
83,"$952,900",90275
