,Median_cost_for_house_2000,zip
1,"$4,001",90049
2,"$4,001",90077
3,"$4,001",90210
4,"$4,001",90402
5,"$4,001",90743
6,"$4,001",92067
7,"$4,001",94027
8,"$4,001",94028
9,"$4,001",94108
10,"$4,001",94111
11,"$4,001",94123
12,"$4,001",94922
13,"$3,967",94022
14,"$3,936",90212
15,"$3,905",90024
16,"$3,857",90067
17,"$3,763",92657
18,"$3,734",94920
19,"$3,700",90272
20,"$3,688",93108
21,"$3,681",90265
22,"$3,667",94940
23,"$3,637",90069
24,"$3,612",92661
25,"$3,570",95030
26,"$3,535",94115
27,"$3,527",92625
28,"$3,433",94507
29,"$3,375",90020
30,"$3,375",94010
31,"$3,362",90274
32,"$3,316",94301
33,"$3,315",94024
34,"$3,294",94506
35,"$3,250",94304
36,"$3,216",95070
37,"$3,207",91302
38,"$3,196",91436
39,"$3,190",94904
40,"$3,189",91108
41,"$3,175",94946
42,"$3,155",94133
43,"$3,123",90211
44,"$3,114",92662
45,"$3,089",94305
46,"$3,057",92590
47,"$3,020",92660
48,"$3,012",94117
49,"$2,969",94109
50,"$2,967",95138
51,"$2,933",92014
52,"$2,933",92861
53,"$2,933",94118
54,"$2,863",91011
55,"$2,845",94941
56,"$2,823",90266
57,"$2,823",94563
58,"$2,794",94062
59,"$2,762",94065
60,"$2,750",94592
61,"$2,745",90403
62,"$2,745",92651
63,"$2,736",90293
64,"$2,709",92118
65,"$2,706",94025
66,"$2,705",92037
67,"$2,671",95135
68,"$2,669",95032
69,"$2,650",94402
70,"$2,648",94939
71,"$2,632",94114
72,"$2,625",92694
73,"$2,625",94556
74,"$2,607",90046
75,"$2,598",95120
76,"$2,597",94549
77,"$2,588",90068
78,"$2,582",90254
79,"$2,567",91105
80,"$2,564",90290
81,"$2,548",94070
82,"$2,544",90056
83,"$2,531",91604
84,"$2,531",94306
85,"$2,530",94705
86,"$2,528",94526
87,"$2,524",94040
88,"$2,522",90275
89,"$2,502",92130
90,"$2,501",94925
91,"$2,490",93953
92,"$2,487",95014
93,"$2,479",94960
94,"$2,473",92663
95,"$2,469",91207
96,"$2,464",94074
97,"$2,457",92679
98,"$2,453",94002
99,"$2,444",95432
100,"$2,434",90048
101,"$2,433",91356
102,"$2,431",94019
103,"$2,430",93923
104,"$2,418",91361
105,"$2,417",94038
106,"$2,417",94539
107,"$2,413",94611
108,"$2,410",94965
109,"$2,409",92210
110,"$2,408",92887
111,"$2,407",94708
112,"$2,403",92602
113,"$2,397",94901
114,"$2,394",90405
115,"$2,372",94127
116,"$2,372",95046
117,"$2,357",90803
118,"$2,348",90292
119,"$2,348",95033
120,"$2,347",91403
121,"$2,336",91377
122,"$2,335",94618
123,"$2,328",90010
124,"$2,325",93621
125,"$2,319",92648
126,"$2,298",90025
127,"$2,298",90036
128,"$2,298",90277
129,"$2,295",91208
130,"$2,289",91423
131,"$2,281",90064
132,"$2,279",94061
133,"$2,275",95037
134,"$2,269",94552
135,"$2,264",91364
136,"$2,261",94963
137,"$2,259",92075
138,"$2,255",94087
139,"$2,254",91381
140,"$2,253",94131
141,"$2,249",95125
142,"$2,248",90035
143,"$2,248",95066
144,"$2,231",94404
145,"$2,224",90027
146,"$2,223",94566
147,"$2,223",94583
148,"$2,217",92673
149,"$2,214",94970
150,"$2,208",91206
151,"$2,207",91301
152,"$2,207",95746
153,"$2,201",94903
154,"$2,194",94923
155,"$2,190",94707
156,"$2,187",91362
157,"$2,185",94041
158,"$2,181",94107
159,"$2,180",93109
160,"$2,179",90401
161,"$2,174",94588
162,"$2,174",94949
163,"$2,164",91602
164,"$2,161",94030
165,"$2,160",93066
166,"$2,160",93908
167,"$2,151",93105
168,"$2,148",94043
169,"$2,147",91326
170,"$2,146",94598
171,"$2,145",94517
172,"$2,133",94924
173,"$2,130",93103
174,"$2,117",92782
175,"$2,117",94403
176,"$2,117",94574
177,"$2,116",95134
178,"$2,105",94971
179,"$2,103",94938
180,"$2,086",90004
181,"$2,086",94610
182,"$2,083",92103
183,"$2,083",95439
184,"$2,075",92677
185,"$2,075",95129
186,"$2,074",91030
187,"$2,058",90742
188,"$2,058",93924
189,"$2,054",90740
190,"$2,052",95126
191,"$2,048",92121
192,"$2,043",94945
193,"$2,042",91202
194,"$2,042",95618
195,"$2,039",94037
196,"$2,035",92629
197,"$2,035",94121
198,"$2,035",95073
199,"$2,033",92705
200,"$2,032",95148
201,"$2,031",94596
202,"$2,030",94704
203,"$2,025",92091
204,"$2,024",92131
205,"$2,024",94930
206,"$2,022",92620
207,"$2,012",94020
208,"$2,007",95003
209,"$2,006",95008
210,"$2,000",94514
211,"$1,999",92808
212,"$1,997",90245
213,"$1,996",93110
214,"$1,994",91024
215,"$1,994",95117
216,"$1,993",91935
217,"$1,993",94005
218,"$1,992",91902
219,"$1,989",90505
220,"$1,989",94709
221,"$1,987",91316
222,"$1,987",93921
223,"$1,982",91367
224,"$1,982",95020
225,"$1,982",95131
226,"$1,981",91106
227,"$1,981",92610
228,"$1,981",94060
229,"$1,980",92009
230,"$1,977",92106
231,"$1,975",93067
232,"$1,974",95035
233,"$1,972",95130
234,"$1,967",90278
235,"$1,965",94502
236,"$1,963",94086
237,"$1,960",90005
238,"$1,960",92612
239,"$1,958",94542
240,"$1,956",91007
241,"$1,955",93013
242,"$1,954",90814
243,"$1,954",92606
244,"$1,954",94303
245,"$1,951",92692
246,"$1,950",95054
247,"$1,950",95119
248,"$1,944",90720
249,"$1,940",95124
250,"$1,940",95762
251,"$1,939",93460
252,"$1,938",94595
253,"$1,936",93463
254,"$1,933",90017
255,"$1,931",94947
256,"$1,929",90045
257,"$1,929",95060
258,"$1,927",94929
259,"$1,921",92029
260,"$1,920",95136
261,"$1,911",90291
262,"$1,911",95497
263,"$1,907",94568
264,"$1,905",92024
265,"$1,903",91107
266,"$1,901",95118
267,"$1,898",92688
268,"$1,896",92109
269,"$1,896",94937
270,"$1,895",95128
271,"$1,893",91501
272,"$1,891",94116
273,"$1,885",95007
274,"$1,883",91607
275,"$1,881",92886
276,"$1,881",95139
277,"$1,875",94132
278,"$1,875",94950
279,"$1,875",95837
280,"$1,873",92101
281,"$1,872",90503
282,"$1,870",91915
283,"$1,870",92835
284,"$1,870",95123
285,"$1,869",91320
286,"$1,869",92672
287,"$1,868",92624
288,"$1,868",93111
289,"$1,867",92823
290,"$1,860",94401
291,"$1,859",94550
292,"$1,858",91006
293,"$1,856",94536
294,"$1,854",95607
295,"$1,853",95050
296,"$1,847",92078
297,"$1,847",92129
298,"$1,846",91789
299,"$1,846",95065
300,"$1,841",92649
301,"$1,841",92869
302,"$1,839",90230
303,"$1,839",90704
304,"$1,838",90404
305,"$1,838",91354
306,"$1,836",90066
307,"$1,833",95830
308,"$1,827",91201
309,"$1,827",94066
310,"$1,827",94706
311,"$1,825",94015
312,"$1,824",93021
313,"$1,824",94956
314,"$1,823",90732
315,"$1,823",94587
316,"$1,821",92614
317,"$1,821",94044
318,"$1,820",92656
319,"$1,818",91307
320,"$1,817",95133
321,"$1,815",95132
322,"$1,813",91304
323,"$1,813",94555
324,"$1,812",92270
325,"$1,807",96146
326,"$1,806",90232
327,"$1,806",91311
328,"$1,804",92127
329,"$1,804",92807
330,"$1,804",96148
331,"$1,803",92082
332,"$1,803",95045
333,"$1,802",93012
334,"$1,800",91214
335,"$1,800",91355
336,"$1,798",91784
337,"$1,797",92675
338,"$1,796",91901
339,"$1,794",94014
340,"$1,787",91709
341,"$1,785",91913
342,"$1,785",94973
343,"$1,783",94501
344,"$1,781",91737
345,"$1,780",95121
346,"$1,779",90034
347,"$1,778",93117
348,"$1,776",94063
349,"$1,775",91914
350,"$1,775",92867
351,"$1,775",94933
352,"$1,770",92064
353,"$1,767",94110
354,"$1,766",93449
355,"$1,766",93940
356,"$1,764",91350
357,"$1,762",92630
358,"$1,761",94122
359,"$1,760",92532
360,"$1,759",91325
361,"$1,758",95023
362,"$1,756",92007
363,"$1,751",93510
364,"$1,751",94523
365,"$1,748",92124
366,"$1,746",94080
367,"$1,746",95127
368,"$1,745",92881
369,"$1,743",94599
370,"$1,743",95051
371,"$1,743",95672
372,"$1,741",92646
373,"$1,740",95112
374,"$1,739",95062
375,"$1,738",91344
376,"$1,736",94951
377,"$1,734",94513
378,"$1,732",92107
379,"$1,730",91504
380,"$1,730",93065
381,"$1,729",92128
382,"$1,729",95549
383,"$1,728",91360
384,"$1,727",95442
385,"$1,725",92061
386,"$1,724",92691
387,"$1,721",95004
388,"$1,721",95658
389,"$1,720",91324
390,"$1,719",91750
391,"$1,718",95006
392,"$1,714",92627
393,"$1,713",91741
394,"$1,711",95765
395,"$1,709",90623
396,"$1,708",95043
397,"$1,707",95005
398,"$1,701",92604
399,"$1,701",94538
400,"$1,698",91775
401,"$1,698",91917
402,"$1,696",92065
403,"$1,696",93010
404,"$1,696",95683
405,"$1,690",95835
406,"$1,689",91773
407,"$1,688",92003
408,"$1,687",92821
409,"$1,687",95111
410,"$1,686",91765
411,"$1,685",92870
412,"$1,683",94510
413,"$1,681",93101
414,"$1,681",94547
415,"$1,678",92708
416,"$1,677",92008
417,"$1,677",94546
418,"$1,674",90703
419,"$1,674",93950
420,"$1,672",90240
421,"$1,672",91401
422,"$1,672",94569
423,"$1,670",94602
424,"$1,670",95663
425,"$1,669",94952
426,"$1,668",93441
427,"$1,667",96140
428,"$1,665",95010
429,"$1,665",95630
430,"$1,662",92028
431,"$1,662",92653
432,"$1,662",95693
433,"$1,661",91001
434,"$1,661",94518
435,"$1,659",93401
436,"$1,659",94560
437,"$1,659",95376
438,"$1,653",95472
439,"$1,650",95492
440,"$1,649",93063
441,"$1,648",90029
442,"$1,645",95476
443,"$1,642",91104
444,"$1,641",92122
445,"$1,637",95017
446,"$1,637",95404
447,"$1,635",94089
448,"$1,634",94530
449,"$1,633",90717
450,"$1,631",92019
451,"$1,630",93907
452,"$1,630",95682
453,"$1,629",91701
454,"$1,629",93023
455,"$1,629",93035
456,"$1,627",90815
457,"$1,626",96145
458,"$1,625",90014
459,"$1,625",93925
460,"$1,625",95715
461,"$1,624",91711
462,"$1,622",92110
463,"$1,619",91384
464,"$1,618",92626
465,"$1,617",90630
466,"$1,614",90015
467,"$1,614",91101
468,"$1,614",91506
469,"$1,614",94954
470,"$1,612",91791
471,"$1,610",93022
472,"$1,609",91020
473,"$1,608",95076
474,"$1,608",95452
475,"$1,607",92883
476,"$1,604",92831
477,"$1,603",93546
478,"$1,603",94521
479,"$1,602",94703
480,"$1,600",90501
481,"$1,600",95616
482,"$1,599",92845
483,"$1,597",90008
484,"$1,597",94558
485,"$1,596",95448
486,"$1,594",90039
487,"$1,594",92618
488,"$1,592",92592
489,"$1,591",90807
490,"$1,591",95122
491,"$1,589",92647
492,"$1,585",90038
493,"$1,585",90241
494,"$1,584",95116
495,"$1,583",95650
496,"$1,582",94112
497,"$1,580",91948
498,"$1,580",94803
499,"$1,579",92882
500,"$1,578",90028
501,"$1,578",92880
502,"$1,576",90808
503,"$1,576",91351
504,"$1,574",90731
505,"$1,572",94509
506,"$1,571",91505
507,"$1,571",91739
508,"$1,571",94619
509,"$1,570",90603
510,"$1,569",91321
511,"$1,569",93652
512,"$1,569",94515
513,"$1,569",95409
514,"$1,568",93004
515,"$1,563",90019
516,"$1,563",95219
517,"$1,561",91748
518,"$1,559",91103
519,"$1,559",92866
520,"$1,558",95039
521,"$1,555",92562
522,"$1,555",94553
523,"$1,554",91343
524,"$1,554",93427
525,"$1,553",90504
526,"$1,553",92706
527,"$1,551",90041
528,"$1,550",93003
529,"$1,550",94511
530,"$1,547",95110
531,"$1,546",94134
532,"$1,542",91016
533,"$1,541",91306
534,"$1,541",95623
535,"$1,540",95018
536,"$1,538",91910
537,"$1,536",90026
538,"$1,536",95441
539,"$1,535",94591
540,"$1,535",95403
541,"$1,534",91962
542,"$1,533",92508
543,"$1,531",95612
544,"$1,529",90631
545,"$1,529",91411
546,"$1,528",92780
547,"$1,528",94931
548,"$1,527",94585
549,"$1,526",94577
550,"$1,525",95637
551,"$1,524",91601
552,"$1,523",92676
553,"$1,523",94928
554,"$1,523",95420
555,"$1,521",91724
556,"$1,520",95864
557,"$1,519",92120
558,"$1,519",95460
559,"$1,517",92025
560,"$1,517",93420
561,"$1,516",94525
562,"$1,514",92126
563,"$1,512",92806
564,"$1,512",93030
565,"$1,512",95602
566,"$1,511",92860
567,"$1,511",92879
568,"$1,509",92865
569,"$1,509",95688
570,"$1,508",94561
571,"$1,508",95258
572,"$1,507",95638
573,"$1,506",93551
574,"$1,505",90638
575,"$1,502",95661
576,"$1,501",90713
577,"$1,501",92683
578,"$1,501",94541
579,"$1,500",92040
580,"$1,500",95405
581,"$1,500",95668
582,"$1,499",95831
583,"$1,498",95236
584,"$1,497",94579
585,"$1,495",92591
586,"$1,492",90601
587,"$1,492",90602
588,"$1,490",93626
589,"$1,490",94544
590,"$1,490",94605
591,"$1,489",92833
592,"$1,487",91040
593,"$1,486",92020
594,"$1,484",94702
595,"$1,482",93440
596,"$1,480",91745
597,"$1,480",93465
598,"$1,479",94545
599,"$1,478",93405
600,"$1,478",95747
601,"$1,477",95412
602,"$1,477",95628
603,"$1,476",94564
604,"$1,476",94586
605,"$1,476",95722
606,"$1,473",90710
607,"$1,471",92084
608,"$1,471",92841
609,"$1,465",94580
610,"$1,464",93452
611,"$1,464",93906
612,"$1,463",90712
613,"$1,463",92563
614,"$1,463",96161
615,"$1,462",92352
616,"$1,460",92026
617,"$1,460",95212
618,"$1,459",92587
619,"$1,458",92056
620,"$1,458",92116
621,"$1,457",95677
622,"$1,456",91345
623,"$1,455",91740
624,"$1,455",93428
625,"$1,455",93563
626,"$1,455",93664
627,"$1,454",90305
628,"$1,454",91406
629,"$1,450",92506
630,"$1,450",94567
631,"$1,448",91792
632,"$1,448",92804
633,"$1,447",92373
634,"$1,446",90746
635,"$1,445",95620
636,"$1,444",91941
637,"$1,444",95401
638,"$1,444",95687
639,"$1,443",94710
640,"$1,442",95758
641,"$1,440",90242
642,"$1,440",91042
643,"$1,438",91801
644,"$1,438",93901
645,"$1,438",94102
646,"$1,437",92069
647,"$1,437",92802
648,"$1,437",94519
649,"$1,435",90250
650,"$1,435",95603
651,"$1,432",90621
652,"$1,432",95635
653,"$1,431",92596
654,"$1,431",94124
655,"$1,430",90620
656,"$1,430",91754
657,"$1,429",91710
658,"$1,429",92021
659,"$1,429",93529
660,"$1,429",95064
661,"$1,426",93711
662,"$1,426",94533
663,"$1,426",95816
664,"$1,425",92832
665,"$1,424",91405
666,"$1,424",91780
667,"$1,424",95445
668,"$1,423",91978
669,"$1,421",92805
670,"$1,420",90706
671,"$1,416",90260
672,"$1,416",91342
673,"$1,416",91605
674,"$1,416",92704
675,"$1,415",94609
676,"$1,414",92354
677,"$1,411",90065
678,"$1,411",91352
679,"$1,410",92123
680,"$1,408",92027
681,"$1,408",95019
682,"$1,407",93001
683,"$1,406",90745
684,"$1,406",91203
685,"$1,406",91790
686,"$1,406",93720
687,"$1,406",96141
688,"$1,405",92555
689,"$1,405",93933
690,"$1,405",95425
691,"$1,405",95818
692,"$1,402",92561
693,"$1,400",90303
694,"$1,400",94508
695,"$1,399",92801
696,"$1,398",92117
697,"$1,398",92840
698,"$1,396",91723
699,"$1,396",92211
700,"$1,396",95625
701,"$1,395",95614
702,"$1,394",90715
703,"$1,394",93430
704,"$1,394",94559
705,"$1,393",94572
706,"$1,392",95624
707,"$1,391",91606
708,"$1,391",92843
709,"$1,390",92119
710,"$1,389",91803
711,"$1,388",92083
712,"$1,387",92071
713,"$1,386",92260
714,"$1,386",94578
715,"$1,385",92305
716,"$1,385",93422
717,"$1,385",93444
718,"$1,384",90604
719,"$1,383",91916
720,"$1,383",95465
721,"$1,382",92707
722,"$1,381",90605
723,"$1,381",95829
724,"$1,379",91335
725,"$1,379",91755
726,"$1,378",95407
727,"$1,377",91205
728,"$1,377",91761
729,"$1,376",92057
730,"$1,375",92336
731,"$1,375",95463
732,"$1,375",95545
733,"$1,375",95984
734,"$1,370",91722
735,"$1,370",92333
736,"$1,369",90249
737,"$1,369",92655
738,"$1,369",95819
739,"$1,368",90043
740,"$1,367",90006
741,"$1,367",91303
742,"$1,367",92086
743,"$1,367",94103
744,"$1,366",95667
745,"$1,365",91502
746,"$1,365",95330
747,"$1,364",93611
748,"$1,363",92054
749,"$1,362",91786
750,"$1,361",90255
751,"$1,361",90640
752,"$1,361",91776
753,"$1,359",92844
754,"$1,358",90301
755,"$1,358",93060
756,"$1,356",90201
757,"$1,356",90248
758,"$1,354",95608
759,"$1,352",95468
760,"$1,351",92315
761,"$1,350",92070
762,"$1,350",95242
763,"$1,350",95776
764,"$1,349",95337
765,"$1,349",95469
766,"$1,347",93033
767,"$1,347",93041
768,"$1,347",95430
769,"$1,346",92377
770,"$1,345",90806
771,"$1,345",93531
772,"$1,345",94589
773,"$1,344",90021
774,"$1,344",91204
775,"$1,344",93311
776,"$1,343",95694
777,"$1,341",94565
778,"$1,340",91010
779,"$1,340",94520
780,"$1,339",91402
781,"$1,339",92567
782,"$1,339",92701
783,"$1,339",93962
784,"$1,338",90247
785,"$1,338",90804
786,"$1,338",95949
787,"$1,337",92253
788,"$1,336",92584
789,"$1,335",93243
790,"$1,335",93424
791,"$1,335",95606
792,"$1,334",95713
793,"$1,333",90304
794,"$1,331",90701
795,"$1,331",95678
796,"$1,329",92111
797,"$1,327",92115
798,"$1,327",95368
799,"$1,325",95237
800,"$1,324",90018
801,"$1,324",91730
802,"$1,324",95310
803,"$1,324",95946
804,"$1,322",91942
805,"$1,321",93455
806,"$1,321",95257
807,"$1,317",90270
808,"$1,317",90280
809,"$1,317",93312
810,"$1,317",95714
811,"$1,316",93402
812,"$1,315",95524
813,"$1,314",95843
814,"$1,313",90502
815,"$1,313",92868
816,"$1,313",93920
817,"$1,313",95313
818,"$1,312",91977
819,"$1,311",90016
820,"$1,311",90805
821,"$1,311",95689
822,"$1,310",95320
823,"$1,310",95959
824,"$1,308",93960
825,"$1,307",90302
826,"$1,306",92139
827,"$1,306",92339
828,"$1,306",95356
829,"$1,305",90606
830,"$1,305",92321
831,"$1,304",95220
832,"$1,303",94806
833,"$1,301",90660
834,"$1,301",92108
835,"$1,301",92337
836,"$1,300",90680
837,"$1,300",92703
838,"$1,299",95366
839,"$1,299",95703
840,"$1,298",91766
841,"$1,298",92595
842,"$1,298",95462
843,"$1,296",90650
844,"$1,296",92104
845,"$1,296",93015
846,"$1,296",93544
847,"$1,294",93651
848,"$1,293",90262
849,"$1,292",96128
850,"$1,291",95975
851,"$1,289",90012
852,"$1,289",93955
853,"$1,288",95410
854,"$1,287",95653
855,"$1,286",95209
856,"$1,285",90042
857,"$1,285",92313
858,"$1,284",91331
859,"$1,283",90723
860,"$1,283",92173
861,"$1,283",94805
862,"$1,281",95564
863,"$1,280",95415
864,"$1,279",91752
865,"$1,279",92557
866,"$1,278",95336
867,"$1,277",91770
868,"$1,276",90744
869,"$1,276",91340
870,"$1,276",91931
871,"$1,274",91702
872,"$1,274",91911
873,"$1,271",90007
874,"$1,271",92264
875,"$1,271",94804
876,"$1,270",93442
877,"$1,270",95662
878,"$1,269",93453
879,"$1,268",92154
880,"$1,267",90011
881,"$1,267",92346
882,"$1,266",90057
883,"$1,266",93926
884,"$1,264",90047
885,"$1,264",91945
886,"$1,263",91963
887,"$1,262",91932
888,"$1,262",92036
889,"$1,262",93536
890,"$1,261",93433
891,"$1,261",94607
892,"$1,260",93905
893,"$1,258",95233
894,"$1,256",92114
895,"$1,256",95222
896,"$1,256",95303
897,"$1,254",90670
898,"$1,253",93446
899,"$1,252",90062
900,"$1,250",90058
901,"$1,250",90810
902,"$1,250",93604
903,"$1,250",93932
904,"$1,250",94612
905,"$1,244",90033
906,"$1,244",95670
907,"$1,243",90040
908,"$1,242",91744
909,"$1,242",94571
910,"$1,241",95695
911,"$1,240",95511
912,"$1,239",95459
913,"$1,237",95631
914,"$1,236",92397
915,"$1,234",95942
916,"$1,233",95012
917,"$1,232",93514
918,"$1,232",96062
919,"$1,231",93635
920,"$1,230",95938
921,"$1,229",92374
922,"$1,229",93532
923,"$1,228",91706
924,"$1,228",91731
925,"$1,228",91746
926,"$1,226",90022
927,"$1,226",95357
928,"$1,225",95361
929,"$1,223",95329
930,"$1,223",95446
931,"$1,221",90221
932,"$1,219",96073
933,"$1,217",95633
934,"$1,214",95470
935,"$1,214",95664
936,"$1,212",91732
937,"$1,212",95436
