,median_cost for house_2014,zip
1,"$4,001",90024
2,"$4,001",90036
3,"$4,001",90049
4,"$4,001",90058
5,"$4,001",90077
6,"$4,001",90210
7,"$4,001",90212
8,"$4,001",90265
9,"$4,001",90266
10,"$4,001",90272
11,"$4,001",90274
12,"$4,001",90290
13,"$4,001",90401
14,"$4,001",90402
15,"$4,001",90742
16,"$4,001",90743
17,"$4,001",91008
18,"$4,001",91011
19,"$4,001",91108
20,"$4,001",91302
21,"$4,001",91436
22,"$4,001",92014
23,"$4,001",92067
24,"$4,001",92145
25,"$4,001",92305
26,"$4,001",92590
27,"$4,001",92603
28,"$4,001",92625
29,"$4,001",92657
30,"$4,001",92660
31,"$4,001",92661
32,"$4,001",92861
33,"$4,001",93108
34,"$4,001",93962
35,"$4,001",94010
36,"$4,001",94022
37,"$4,001",94024
38,"$4,001",94027
39,"$4,001",94028
40,"$4,001",94062
41,"$4,001",94104
42,"$4,001",94108
43,"$4,001",94111
44,"$4,001",94123
45,"$4,001",94301
46,"$4,001",94304
47,"$4,001",94305
48,"$4,001",94506
49,"$4,001",94507
50,"$4,001",94528
51,"$4,001",94549
52,"$4,001",94904
53,"$4,001",94920
54,"$4,001",94938
55,"$4,001",94939
56,"$4,001",94946
57,"$4,001",94957
58,"$4,001",94963
59,"$4,001",95030
60,"$4,001",95070
61,"$4,000",90211
62,"$3,999",94941
63,"$3,995",90068
64,"$3,986",94115
65,"$3,969",94563
66,"$3,946",92651
67,"$3,939",94105
68,"$3,921",94025
69,"$3,918",94114
70,"$3,917",95389
71,"$3,915",95032
72,"$3,897",94306
73,"$3,895",94582
74,"$3,882",90094
75,"$3,826",95120
76,"$3,823",94107
77,"$3,812",91604
78,"$3,810",92037
79,"$3,799",95014
80,"$3,798",94118
81,"$3,771",92694
82,"$3,765",94117
83,"$3,763",94925
84,"$3,760",94127
85,"$3,750",90067
86,"$3,740",94133
87,"$3,737",90254
88,"$3,725",94402
89,"$3,721",94960
90,"$3,711",94924
91,"$3,704",92663
92,"$3,701",95138
93,"$3,696",90046
94,"$3,696",94070
95,"$3,693",94158
96,"$3,673",92130
97,"$3,623",94002
98,"$3,619",90292
99,"$3,610",95135
100,"$3,595",94021
101,"$3,587",94705
102,"$3,584",90056
103,"$3,578",90004
104,"$3,544",94065
105,"$3,538",95920
106,"$3,533",90048
107,"$3,531",92673
108,"$3,530",92091
109,"$3,525",94040
110,"$3,523",90010
111,"$3,519",91708
112,"$3,519",94965
113,"$3,512",92127
114,"$3,507",94109
115,"$3,506",94030
116,"$3,496",90064
117,"$3,495",93953
118,"$3,480",90035
119,"$3,479",93432
120,"$3,471",95046
121,"$3,469",90704
122,"$3,467",91210
123,"$3,464",91356
124,"$3,462",92679
125,"$3,454",90069
126,"$3,452",94526
127,"$3,447",94611
128,"$3,444",94303
129,"$3,430",92662
130,"$3,428",94087
131,"$3,419",92106
132,"$3,415",94566
