,Median Income 2000,zip
1,"$200,001",94027
2,"$196,298",92067
3,"$164,479",94028
4,"$145,425",94022
5,"$142,459",94506
6,"$141,527",90077
7,"$139,997",94507
8,"$138,206",95070
9,"$128,853",94024
10,"$127,308",92304
11,"$124,434",95618
12,"$122,877",90272
13,"$120,117",95120
14,"$119,832",94563
15,"$119,147",91108
16,"$118,553",90402
17,"$117,979",90274
18,"$117,564",95030
19,"$116,658",92861
20,"$114,004",92657
21,"$112,998",92679
22,"$112,572",90210
23,"$112,399",92602
24,"$109,802",91011
25,"$109,771",94526
26,"$107,474",93645
27,"$106,675",95033
28,"$106,492",94920
29,"$105,393",94552
30,"$104,958",94065
31,"$104,306",92694
32,"$103,926",92887
33,"$103,904",92091
34,"$103,791",94708
35,"$103,389",95138
36,"$102,652",91436
37,"$101,977",94539
38,"$101,575",93108
39,"$101,555",94549
40,"$100,986",95746
41,"$100,857",90265
42,"$100,761",90266
43,"$100,590",94707
44,"$100,080",92625
45,"$100,020",95014
46,"$98,608",93953
47,"$98,525",94556
48,"$98,119",92660
49,"$97,758",94301
50,"$97,467",95735
51,"$97,029",92014
52,"$96,677",94062
53,"$96,658",94517
54,"$96,078",95135
55,"$95,643",90275
56,"$95,588",94583
57,"$95,313",94127
58,"$95,126",92210
59,"$93,929",92130
60,"$93,859",94037
61,"$93,378",91302
62,"$93,118",95032
63,"$92,989",94404
64,"$92,644",94588
65,"$92,073",92673
66,"$91,529",95762
67,"$91,283",94941
68,"$90,811",92131
69,"$90,107",94566
70,"$89,572",94025
71,"$89,561",91377
72,"$89,398",95148
73,"$89,150",94020
74,"$89,016",94070
75,"$88,976",94105
76,"$88,725",91301
77,"$88,710",92610
78,"$88,661",90290
79,"$88,329",92808
80,"$88,184",94970
81,"$87,931",95119
82,"$87,855",94502
83,"$87,622",95837
84,"$87,486",95131
85,"$87,112",91381
86,"$86,646",91361
87,"$86,515",95139
88,"$86,467",92620
89,"$85,977",92782
90,"$85,488",93908
91,"$85,479",94598
92,"$85,124",95054
93,"$85,109",94514
94,"$84,858",91354
95,"$84,856",94087
96,"$84,710",94123
97,"$84,565",95035
98,"$84,442",94555
99,"$84,342",90049
100,"$83,750",91362
