,Median_Household_Income_2014,Zip
1,"$236,912",94027
2,"$228,587",92145
3,"$200,325",91980
4,"$187,857",94957
5,"$182,750",94022
6,"$180,174",94028
7,"$176,241",94506
8,"$172,443",90077
9,"$170,656",94105
10,"$167,546",94024
11,"$167,386",95070
12,"$166,750",95140
13,"$166,147",94563
14,"$163,486",92657
15,"$163,219",94507
16,"$162,328",94528
17,"$157,938",90272
18,"$157,879",91210
19,"$156,250",90274
20,"$154,107",95030
21,"$153,269",94074
22,"$152,721",95120
23,"$152,210",91011
24,"$150,864",92861
25,"$149,821",95007
26,"$149,538",92679
27,"$147,568",94037
28,"$145,610",94708
29,"$145,505",95138
30,"$144,886",94129
31,"$144,152",94539
32,"$142,071",90266
33,"$138,750",90210
34,"$138,371",94582
35,"$137,344",94549
36,"$137,122",92694
37,"$136,331",94707
38,"$135,076",96136
39,"$134,907",94301
40,"$133,333",95053
41,"$133,088",94556
42,"$132,826",94552
43,"$132,486",94920
44,"$132,462",94065
45,"$131,607",90402
46,"$131,166",92130
47,"$131,108",94127
48,"$130,961",95014
49,"$128,802",94526
50,"$128,654",95135
51,"$128,060",91436
52,"$127,684",94588
53,"$126,984",92887
54,"$126,557",94062
55,"$126,397",95033
56,"$125,735",92625
57,"$125,629",92673
58,"$125,335",94070
59,"$125,272",93108
60,"$124,814",90265
61,"$124,712",92823
62,"$124,375",95663
63,"$123,575",94618
64,"$123,459",92127
65,"$122,970",94114
66,"$122,354",94087
67,"$121,948",94583
68,"$121,715",91302
69,"$121,367",94517
70,"$121,337",94598
71,"$121,209",94941
72,"$121,200",94123
73,"$120,984",92610
74,"$120,893",95032
75,"$120,742",90275
76,"$120,686",92603
77,"$120,672",93730
78,"$120,610",94107
79,"$120,401",94566
80,"$120,208",95041
81,"$120,152",91108
82,"$119,939",92067
83,"$119,924",92131
84,"$119,095",94025
85,"$118,919",95746
86,"$118,750",91708
87,"$118,125",94010
88,"$117,700",95762
89,"$117,326",91377
90,"$116,855",95054
91,"$116,732",90049
92,"$115,807",94402
93,"$114,779",94404
94,"$114,777",92014
95,"$114,757",95134
96,"$114,608",91381
97,"$114,603",94555
98,"$114,542",95587
99,"$113,826",93908
100,"$113,616",94568
101,"$113,281",94946
102,"$113,279",94925
103,"$112,008",92660
104,"$111,833",94505
105,"$111,602",94306
106,"$111,098",91354
107,"$110,964",92808
108,"$110,343",91914
109,"$110,236",95837
110,"$110,054",92886
111,"$109,913",91301
112,"$109,545",96125
113,"$109,267",92129
114,"$108,919",95066
115,"$108,882",91105
116,"$108,366",95131
117,"$108,295",94960
118,"$108,205",95046
119,"$107,768",94970
120,"$107,660",94592
121,"$107,577",94611
122,"$107,493",95129
123,"$107,324",95148
124,"$107,095",95391
125,"$106,750",90290
126,"$106,660",95124
127,"$106,458",90743
128,"$106,365",91320
129,"$106,333",94964
130,"$105,985",94002
131,"$105,659",91390
132,"$105,480",94502
133,"$105,029",90254
134,"$104,934",90278
135,"$104,557",93619
136,"$104,167",95742
137,"$104,149",92602
138,"$104,125",92060
139,"$103,598",92121
140,"$103,472",94111
141,"$103,378",94019
142,"$103,333",94117
143,"$103,319",90292
144,"$103,319",95119
145,"$103,306",91361
146,"$102,952",94550
147,"$102,872",95318
148,"$102,755",92782
149,"$102,500",92364
150,"$102,479",95125
151,"$102,396",93953
152,"$102,273",91384
153,"$102,237",94904
154,"$102,212",92009
155,"$102,160",92620
156,"$102,045",92692
157,"$102,030",92011
158,"$101,932",94304
159,"$101,912",94040
160,"$101,303",92880
161,"$101,292",92656
162,"$101,292",95051
163,"$100,844",94043
164,"$100,750",94516
165,"$100,747",91362
166,"$100,694",92688
167,"$100,398",91962
168,"$100,380",92385
169,"$100,308",95630
170,"$100,215",94086
171,"$100,204",94547
172,"$100,139",95683
173,"$100,114",94131
174,"$100,049",91739
175,"$99,638",93109
176,"$99,606",91915
177,"$99,537",93021
178,"$99,398",90277
179,"$99,167",95227
180,"$98,990",95130
181,"$98,899",95035
182,"$98,831",91326
183,"$98,697",92651
184,"$98,655",91307
185,"$98,407",91737
186,"$98,400",95139
187,"$98,321",94551
188,"$98,315",91008
189,"$98,264",92677
190,"$98,219",93923
191,"$98,026",95132
192,"$97,921",91350
193,"$97,609",91709
194,"$97,470",92618
195,"$96,860",95377
196,"$96,824",90808
197,"$96,719",94044
198,"$96,563",93664
199,"$96,537",94705
200,"$96,446",93314
201,"$96,297",92064
202,"$96,281",94938
203,"$96,010",90094
204,"$95,984",92614
205,"$95,975",91784
206,"$95,806",92010
207,"$95,631",90720
208,"$95,625",93441
209,"$95,435",95037
210,"$95,306",92037
