,Median_Rent_2000,zip
1,"$2,001",92067
2,"$2,001",92091
3,"$2,001",92602
4,"$2,001",93953
5,"$2,001",94027
6,"$2,001",94028
7,"$2,001",94506
8,"$1,996",94105
9,"$1,961",94024
10,"$1,948",94304
11,"$1,906",91108
12,"$1,900",94065
13,"$1,872",95120
14,"$1,809",94130
15,"$1,736",94129
16,"$1,700",94920
17,"$1,691",90272
18,"$1,684",94022
19,"$1,677",95070
20,"$1,673",92657
21,"$1,657",95014
22,"$1,638",90265
23,"$1,622",94404
24,"$1,605",90067
25,"$1,572",95138
26,"$1,568",94502
27,"$1,567",94950
28,"$1,560",94526
29,"$1,529",92518
30,"$1,527",94708
31,"$1,516",95134
32,"$1,508",90077
33,"$1,504",95131
34,"$1,504",95148
35,"$1,500",90275
36,"$1,500",95139
37,"$1,489",90274
38,"$1,489",95054
39,"$1,480",91377
40,"$1,473",94037
41,"$1,453",94965
42,"$1,450",92823
43,"$1,442",90292
44,"$1,426",94507
45,"$1,424",92660
46,"$1,405",94038
47,"$1,403",94939
48,"$1,400",95135
49,"$1,387",94583
50,"$1,387",95132
51,"$1,379",95119
52,"$1,375",91914
53,"$1,375",95497
54,"$1,370",95032
55,"$1,369",95123
56,"$1,368",92606
57,"$1,366",94089
58,"$1,364",92625
59,"$1,364",94588
60,"$1,360",94517
61,"$1,359",90266
62,"$1,358",91307
63,"$1,358",92130
64,"$1,358",92614
65,"$1,356",94568
66,"$1,348",95121
67,"$1,340",92782
68,"$1,335",95030
69,"$1,330",92808
70,"$1,330",94586
71,"$1,324",94025
72,"$1,315",94539
73,"$1,314",92618
74,"$1,311",94925
75,"$1,307",90210
76,"$1,301",92679
77,"$1,294",91354
78,"$1,293",95051
79,"$1,289",95683
80,"$1,287",94514
81,"$1,283",94301
82,"$1,282",95129
83,"$1,281",94123
84,"$1,279",95035
85,"$1,278",92887
86,"$1,278",94086
87,"$1,273",94555
88,"$1,269",95136
89,"$1,267",93108
90,"$1,266",92656
91,"$1,262",94306
92,"$1,260",91436
93,"$1,257",90703
94,"$1,257",94041
95,"$1,254",94563
96,"$1,249",92662
97,"$1,247",93923
98,"$1,247",94044
99,"$1,246",94598
100,"$1,244",94087
101,"$1,244",94949
102,"$1,240",92014
103,"$1,238",95762
104,"$1,223",92131
105,"$1,222",91302
106,"$1,222",94019
107,"$1,221",91301
108,"$1,220",94402
109,"$1,220",94970
110,"$1,218",93109
111,"$1,217",94903
112,"$1,217",94904
113,"$1,216",92604
114,"$1,213",91320
115,"$1,210",94403
116,"$1,209",92610
117,"$1,208",92677
118,"$1,208",94040
119,"$1,208",94043
120,"$1,207",94941
121,"$1,207",95124
122,"$1,206",94538
123,"$1,204",92612
124,"$1,204",94552
125,"$1,202",91915
126,"$1,200",90212
127,"$1,199",92807
128,"$1,198",91361
129,"$1,190",92127
130,"$1,189",90290
131,"$1,189",91784
132,"$1,188",94070
133,"$1,186",92676
134,"$1,183",90024
135,"$1,179",94964
136,"$1,177",92691
137,"$1,176",92009
138,"$1,175",95008
139,"$1,173",94111
140,"$1,173",95003
141,"$1,171",94116
142,"$1,170",91364
143,"$1,170",93021
144,"$1,167",95127
145,"$1,165",92620
146,"$1,164",93012
147,"$1,162",91913
148,"$1,160",95033
149,"$1,159",92128
150,"$1,159",94924
151,"$1,158",94066
152,"$1,157",94030
153,"$1,156",92124
154,"$1,155",95125
155,"$1,154",90742
156,"$1,150",91362
157,"$1,150",94015
158,"$1,149",94536
159,"$1,148",90049
160,"$1,146",90254
161,"$1,145",94947
162,"$1,144",91011
163,"$1,143",92629
164,"$1,143",92886
165,"$1,143",94061
166,"$1,142",92673
167,"$1,141",92653
168,"$1,138",95066
169,"$1,133",92122
170,"$1,132",94595
171,"$1,126",94132
172,"$1,125",93067
173,"$1,125",93921
174,"$1,125",94062
175,"$1,125",95765
176,"$1,123",94131
177,"$1,122",94114
178,"$1,121",92646
179,"$1,119",93111
180,"$1,119",94010
181,"$1,118",92663
182,"$1,118",92688
183,"$1,118",95746
184,"$1,114",92075
185,"$1,114",92121
186,"$1,114",94002
187,"$1,112",94556
188,"$1,112",95117
189,"$1,111",94542
190,"$1,110",94127
191,"$1,110",95118
192,"$1,108",94930
193,"$1,105",92692
194,"$1,105",95130
195,"$1,103",91789
196,"$1,102",92624
197,"$1,101",94566
198,"$1,100",96146
199,"$1,099",95037
200,"$1,098",91381
201,"$1,095",90211
202,"$1,095",91355
203,"$1,095",94401
204,"$1,093",92651
205,"$1,093",94560
206,"$1,091",94587
207,"$1,089",94954
208,"$1,087",92630
209,"$1,087",95122
210,"$1,084",94960
211,"$1,083",91360
212,"$1,082",94547
213,"$1,076",92007
214,"$1,076",94707
215,"$1,075",94933
216,"$1,073",91367
217,"$1,071",94122
218,"$1,070",95614
219,"$1,069",93065
220,"$1,067",92037
221,"$1,065",93105
222,"$1,065",94549
223,"$1,063",94080
224,"$1,062",94118
225,"$1,062",95050
226,"$1,060",90277
227,"$1,060",92708
228,"$1,059",93035
229,"$1,056",94117
230,"$1,051",92626
231,"$1,050",94107
232,"$1,049",95128
233,"$1,045",92377
234,"$1,043",90036
235,"$1,042",91962
236,"$1,042",92508
237,"$1,042",95111
238,"$1,040",95065
239,"$1,038",92883
240,"$1,038",93063
241,"$1,036",94545
242,"$1,035",91709
243,"$1,034",94550
244,"$1,033",90740
245,"$1,033",95444
246,"$1,028",95703
247,"$1,025",92126
248,"$1,024",92118
249,"$1,022",94945
250,"$1,017",91105
251,"$1,016",94112
252,"$1,015",94115
253,"$1,015",95946
254,"$1,010",90713
255,"$1,010",92587
256,"$1,010",94596
257,"$1,009",92675
258,"$1,007",91765
259,"$1,007",95073
260,"$1,006",92661
261,"$1,004",92649
262,"$1,001",92845
263,"$1,001",95126
264,"$1,000",95133
265,"$1,000",95450
266,$997,92835
267,$995,94521
268,$994,94973
269,$993,93962
270,$991,90293
271,$991,95062
272,$989,90505
273,$989,94523
274,$989,94937
275,$988,93460
276,$985,94901
277,$984,94121
278,$983,90048
279,$980,91351
280,$977,90402
281,$977,94599
282,$975,90035
283,$975,92129
284,$975,94005
285,$973,94592
286,$973,94938
287,$972,95758
288,$968,90732
289,$968,92869
290,$967,95005
291,$965,91739
292,$965,94546
293,$963,94706
294,$963,95010
295,$962,90815
296,$960,93950
297,$960,94519
298,$958,90025
299,$957,91902
300,$957,92647
301,$957,92648
302,$957,95405
303,$956,90623
304,$956,93013
305,$956,94303
306,$956,95409
307,$953,91737
308,$950,94518
309,$950,94946
310,$950,95006
311,$950,96073
312,$947,91978
313,$947,92108
314,$946,91745
315,$946,92123
316,$944,94579
317,$944,95002
318,$943,90278
319,$943,92024
320,$943,93510
321,$942,93022
322,$941,93010
323,$940,93110
324,$939,95020
325,$939,95630
326,$938,95672
327,$936,93441
328,$936,94014
329,$936,95060
330,$935,94618
331,$935,95829
332,$933,94580
333,$933,94956
334,$932,91403
335,$932,92056
336,$932,92821
337,$931,94063
338,$930,95116
339,$927,93908
340,$925,91759
341,$924,95452
342,$923,90630
343,$922,92078
344,$921,90620
345,$921,94060
346,$921,95004
347,$919,91604
348,$917,93103
349,$915,90503
350,$915,91214
351,$915,93907
352,$914,92704
353,$912,91344
354,$912,95983
355,$910,92057
356,$910,92592
357,$909,92064
358,$909,95018
359,$909,95110
360,$908,96140
361,$907,92551
362,$907,94544
363,$906,93003
364,$905,90746
365,$905,94530
366,$905,95949
367,$904,94928
368,$903,92672
369,$902,92584
370,$901,94591
371,$900,94561
372,$899,90064
373,$899,91208
374,$899,92870
375,$898,90069
376,$897,92008
377,$896,91773
378,$895,93940
379,$894,90808
380,$894,92627
381,$893,92865
382,$892,92861
383,$892,94501
384,$892,94510
385,$890,91311
386,$890,94567
387,$890,95663
388,$888,90403
389,$888,91423
390,$887,90720
391,$886,90715
392,$886,92120
393,$886,93117
394,$885,92867
395,$885,94931
396,$885,96145
397,$883,95714
398,$882,90245
399,$882,91345
400,$882,94110
401,$882,96161
402,$881,92555
403,$880,92705
404,$879,92707
405,$879,95476
406,$879,95956
407,$878,90502
408,$877,92780
409,$877,92879
410,$876,94553
411,$876,95687
412,$875,93101
413,$875,95722
414,$874,90638
415,$873,91350
416,$872,92109
417,$870,94576
418,$870,94585
419,$870,95403
420,$867,91316
421,$867,92806
422,$867,95410
423,$865,91701
424,$865,92117
425,$865,94541
426,$865,95448
427,$865,95661
428,$864,90045
429,$864,91384
430,$864,91792
431,$864,93428
432,$864,94558
433,$864,94952
434,$863,92860
435,$863,94803
436,$861,91006
437,$859,91202
438,$858,91931
439,$858,93463
440,$856,90056
441,$856,91321
442,$856,91741
443,$856,95492
