zip,Average Education Index 2000,Average Education Index 2014,Index Change
94305,17.76,17.69,-0.07000000000000028
95041,17.12,15.65,-1.4700000000000006
94708,17.01,17.12,0.10999999999999943
94304,17.0,17.02,0.019999999999999574
94707,16.83,17.15,0.3200000000000003
94028,16.83,16.76,-0.06999999999999673
94709,16.61,16.83,0.21999999999999886
94705,16.59,16.66,0.07000000000000028
94301,16.59,17.07,0.4800000000000004
95064,16.51,16.77,0.259999999999998
94027,16.36,16.76,0.40000000000000213
90743,16.33,15.49,-0.8399999999999981
95618,16.33,16.21,-0.11999999999999744
94618,16.33,16.69,0.360000000000003
94022,16.32,16.99,0.6699999999999982
94306,16.31,16.62,0.3100000000000023
94563,16.3,16.37,0.07000000000000028
92130,16.27,16.66,0.39000000000000057
92121,16.26,16.53,0.2699999999999996
92091,16.26,15.95,-0.3100000000000023
92014,16.24,16.39,0.15000000000000213
94024,16.23,16.8,0.5700000000000003
90077,16.18,16.62,0.4400000000000013
90272,16.17,16.53,0.35999999999999943
92657,16.16,16.2,0.03999999999999915
94941,16.14,16.32,0.17999999999999972
94920,16.14,16.32,0.17999999999999972
90402,16.13,16.42,0.2900000000000027
95497,16.12,16.37,0.25
95616,16.05,16.31,0.259999999999998
92037,16.04,16.57,0.5300000000000011
90049,16.03,16.44,0.41000000000000014
91108,16.03,16.04,0.00999999999999801
94123,16.01,16.19,0.17999999999999972
94704,16.01,15.92,-0.09000000000000163
92612,16.0,15.62,-0.3800000000000008
95030,16.0,16.3,0.3000000000000007
95070,15.99,16.59,0.5999999999999996
94939,15.94,15.82,-0.11999999999999922
94556,15.9,16.39,0.4900000000000002
94129,15.89,16.91,1.0199999999999996
92602,15.89,15.56,-0.33000000000000007
92122,15.88,16.33,0.4499999999999975
90274,15.88,16.23,0.34999999999999964
94065,15.86,16.24,0.379999999999999
90266,15.86,16.17,0.3100000000000023
90024,15.86,16.19,0.33000000000000185
94611,15.85,16.22,0.3699999999999992
94549,15.85,16.22,0.3699999999999992
95014,15.82,16.46,0.6400000000000006
92067,15.81,16.51,0.7000000000000011
93953,15.81,15.96,0.15000000000000036
93634,15.79,14.14,-1.6499999999999986
94904,15.77,15.97,0.20000000000000107
91011,15.75,16.26,0.5100000000000016
90254,15.75,15.92,0.16999999999999993
94114,15.72,16.48,0.7599999999999998
92131,15.72,15.91,0.1899999999999995
92625,15.71,15.88,0.16999999999999993
93108,15.7,16.01,0.3100000000000023
94507,15.7,15.99,0.2900000000000009
94506,15.66,16.07,0.41000000000000014
90290,15.64,15.54,-0.10000000000000142
94706,15.61,16.34,0.7300000000000004
92660,15.6,15.76,0.16000000000000014
94130,15.58,13.85,-1.7300000000000004
95120,15.58,15.81,0.23000000000000043
94965,15.57,15.69,0.11999999999999922
94105,15.57,16.83,1.259999999999998
94960,15.57,15.87,0.29999999999999893
90293,15.55,15.5,-0.05000000000000071
91105,15.55,16.19,0.6400000000000006
90265,15.54,15.58,0.040000000000000924
94970,15.53,16.47,0.9399999999999995
94598,15.5,15.87,0.3699999999999992
92662,15.49,15.69,0.1999999999999993
90403,15.49,16.2,0.7099999999999991
90292,15.46,15.94,0.47999999999999865
94925,15.46,15.51,0.049999999999998934
94117,15.45,15.95,0.5
94131,15.45,15.96,0.5100000000000016
90275,15.45,15.89,0.4400000000000013
95033,15.45,15.82,0.370000000000001
92614,15.44,15.64,0.20000000000000107
92861,15.43,15.4,-0.02999999999999936
90212,15.42,16.02,0.5999999999999996
94404,15.42,15.73,0.3100000000000005
93921,15.41,15.41,0.0
94963,15.41,16.29,0.879999999999999
92651,15.41,15.93,0.5199999999999996
91436,15.41,15.85,0.4399999999999995
91302,15.39,15.95,0.5599999999999987
92782,15.39,15.68,0.28999999999999915
95410,15.39,14.21,-1.1799999999999997
94610,15.36,16.03,0.6700000000000017
95032,15.35,15.88,0.5300000000000011
94526,15.33,15.57,0.2400000000000002
95524,15.33,15.14,-0.1899999999999995
92661,15.32,15.87,0.5499999999999989
90803,15.31,15.64,0.33000000000000007
91030,15.29,15.6,0.3100000000000005
94087,15.29,15.99,0.7000000000000011
92620,15.29,15.72,0.4300000000000015
94539,15.28,16.05,0.7700000000000014
93923,15.27,15.67,0.40000000000000036
92075,15.27,15.19,-0.08000000000000007
94025,15.26,15.99,0.7300000000000004
90056,15.24,15.47,0.23000000000000043
95129,15.21,15.84,0.629999999999999
90405,15.21,15.73,0.5199999999999996
94530,15.21,15.46,0.25
94933,15.2,15.07,-0.129999999999999
91361,15.2,15.5,0.3000000000000007
93645,15.19,12.46,-2.7299999999999986
92679,15.19,15.45,0.2599999999999998
90036,15.19,15.61,0.41999999999999993
94929,15.19,14.95,-0.2400000000000002
94956,15.17,14.66,-0.5099999999999998
91377,15.17,15.62,0.4499999999999993
91711,15.17,15.44,0.2699999999999996
92009,15.16,15.58,0.41999999999999993
92118,15.16,15.77,0.6099999999999994
94020,15.15,15.28,0.129999999999999
94010,15.14,15.71,0.5700000000000003
94502,15.14,15.62,0.47999999999999865
92606,15.13,15.53,0.3999999999999986
94037,15.11,14.91,-0.1999999999999993
90742,15.11,15.16,0.05000000000000071
94583,15.1,15.39,0.2900000000000009
94596,15.1,15.47,0.370000000000001
94924,15.1,15.44,0.33999999999999986
94703,15.1,15.57,0.47000000000000064
95762,15.09,15.16,0.07000000000000028
94062,15.09,15.42,0.33000000000000007
91604,15.08,15.48,0.40000000000000036
90068,15.08,15.69,0.6099999999999994
90277,15.06,15.64,0.5800000000000001
94973,15.06,15.94,0.879999999999999
94950,15.05,14.32,-0.7300000000000004
94002,15.05,15.46,0.41000000000000014
91024,15.05,15.73,0.6799999999999997
95746,15.05,15.25,0.1999999999999993
92887,15.04,15.26,0.22000000000000064
94127,15.04,15.85,0.8100000000000005
94040,15.04,15.97,0.9300000000000015
95456,15.04,14.4,-0.6399999999999988
94115,15.04,15.62,0.5800000000000001
90210,15.03,15.45,0.41999999999999993
91364,15.03,15.0,-0.02999999999999936
92128,15.01,15.42,0.41000000000000014
92127,15.01,15.89,0.8800000000000008
92663,14.99,15.46,0.47000000000000064
91301,14.99,15.13,0.14000000000000057
94930,14.98,15.62,0.6399999999999988
94111,14.98,15.11,0.129999999999999
92610,14.98,15.5,0.5199999999999996
90069,14.98,15.46,0.4800000000000004
94552,14.97,15.18,0.20999999999999908
91403,14.96,15.47,0.5099999999999998
