OBJECTID,STATE,COUNTY,TRACT,TRACT_NO,FIPS,LIAISON,PHB_AREA,NEIGHBORHOOD,DEMO_CHANGE,MARKET_HOUSEVAL,MARKET_RENT,TYPOLOGY_COMBO,TYPOLOGY_2010,CHANGE_DESCRIPTION,Shape_Length,Shape_Area
1,41,051,001202,12.02,41051001202,SOUTHEAST,Belmont-Hawthorne-Division,Hosford-Abernethy,Yes,,Appreciated,NA,NA,NA,5732.0358923415,1901593.87099323
2,41,051,001301,13.01,41051001301,SOUTHEAST,Belmont-Hawthorne-Division,Sunnyside,Yes,,Appreciated,NA,Continued Loss,Method change,4949.46034016661,1516959.63858046
3,41,051,001302,13.02,41051001302,SOUTHEAST,Belmont-Hawthorne-Division,Richmond,Yes,Appreciated,,NA,Continued Loss,Method change,4972.03703565356,1543217.95791959
4,41,051,001400,14,41051001400,SOUTHEAST,Belmont-Hawthorne-Division,Richmond,Yes,Appreciated,Appreciated,NA,NA,NA,7090.15387475954,2474987.85558231
5,41,051,001500,15,41051001500,SOUTHEAST,Montavilla,Mount Tabor,Yes,,,NA,NA,NA,5936.6637711496,1997231.08587331
6,41,051,001601,16.01,41051001601,SOUTHEAST,Montavilla,Mount Tabor,Yes,Appreciated,,NA,NA,NA,10017.7251918034,5995853.07901945
7,41,051,001602,16.02,41051001602,SOUTHEAST,Montavilla,Montavilla,No,Accelerating,Accelerating,Early: Type 1,Susceptible,Worsening,7563.50460171235,3393310.2380724
8,41,051,001701,17.01,41051001701,SOUTHEAST,Montavilla,Montavilla,Yes,Accelerating,Accelerating,Late: Type 2,Susceptible,Worsening,9390.51345098872,4125480.32334681
9,41,051,001702,17.02,41051001702,SOUTHEAST,Montavilla,Montavilla,No,Accelerating,Accelerating,Early: Type 1,Susceptible,Worsening,8560.6173759115,2760604.84751424
10,41,051,001801,18.01,41051001801,SOUTHEAST,Montavilla,North Tabor,Yes,Adjacent,Accelerating,Early: Type 1,Early Type 1,No change,10377.3616141482,2381129.77652568
11,41,051,001802,18.02,41051001802,SOUTHEAST,Montavilla,Mount Tabor,No,,Appreciated,NA,NA,NA,7510.18883734967,2205671.61708884
12,41,051,001900,19,41051001900,SOUTHEAST,Hollywood,Laurelhurst,Yes,,Appreciated,NA,NA,NA,8207.74283400953,3651374.31209267
13,41,051,002000,20,41051002000,SOUTHEAST,Hollywood,Kerns,Yes,,Appreciated,NA,Continued Loss,Method change,7950.18423893965,2963998.31915754
14,41,051,002100,21,41051002100,CENTRAL CITY,Central City,Kerns,Yes,Appreciated,Appreciated,NA,Continued Loss,Method change,9559.84231703113,3545570.10778132
15,41,051,002401,24.01,41051002401,NORTHEAST,MLK-Alberta,Irvington,Yes,,,NA,NA,NA,5480.74058054981,1718007.77794942
16,41,051,002402,24.02,41051002402,NORTHEAST,Hollywood,Eliot,Yes,Appreciated,,NA,NA,NA,6003.44211612492,1789616.64725674
17,41,051,002501,25.01,41051002501,NORTHEAST,Hollywood,Alameda,No,,,NA,NA,NA,6648.9488745907,2728329.9386602
18,41,051,002502,25.02,41051002502,NORTHEAST,Hollywood,Sullivan's Gulch,Yes,,Appreciated,NA,NA,NA,6131.86670461302,2240473.6499659
19,41,051,002600,26,41051002600,NORTHEAST,Hollywood,Grant Park,Yes,,,NA,NA,NA,6719.33712050492,2075443.48757934
20,41,051,002701,27.01,41051002701,NORTHEAST,Hollywood,Beaumont-Wilshire,No,,,NA,NA,NA,5555.57398967613,1860711.86415928
21,41,051,002702,27.02,41051002702,NORTHEAST,Hollywood,Rose City Park,No,,Adjacent,Susceptible,NA,New in 2017,6141.8201884359,1746619.12790096
22,41,051,002801,28.01,41051002801,NORTHEAST,Roseway-Cully,Rose City Park,No,,,NA,NA,NA,5588.32634859358,1869431.33168502
23,41,051,002802,28.02,41051002802,NORTHEAST,Roseway-Cully,Rose City Park,Yes,Appreciated,Appreciated,NA,NA,NA,6087.73459411272,2002495.61662206
24,41,051,002901,29.01,41051002901,NORTHEAST,Roseway-Cully,Roseway,Yes,Adjacent,Accelerating,NA,NA,NA,8063.05303660532,3132292.47202379
