Census Track,Average Income,Neighborhood,Shape_Area,City,County,State,Country
859795,4619611,50,804,North Carlchester,81,South Dakota,
709412,490818,98,139,New Destinyfurt,69,Alabama,
244900,7712856,24,560,Valenzuelaburgh,26,Ohio,
914344,8574245,61,144,North Dominiqueton,96,Pennsylvania,
349052,846277,23,768,Mcclainhaven,53,Idaho,
894185,2687903,62,734,Cynthiaport,47,Arkansas,
604065,3847752,79,408,Apriltown,47,California,
208432,5349216,85,416,Alexandermouth,34,Michigan,
669837,5041068,33,544,Rogerton,90,South Carolina,
418646,2297955,51,155,Schwartzburgh,28,New York,
105982,1752472,88,535,Garciatown,48,Montana,
263719,3718320,53,807,Andersonton,25,Nebraska,
132041,8721484,66,216,West Jorgefurt,95,Washington,
85244,2920882,71,287,Coleview,14,Indiana,
737400,3989457,71,176,Johnfurt,22,Wisconsin,
324382,2315771,51,397,Lawrenceview,35,North Carolina,
49539,7168003,48,811,Port Ryan,10,Louisiana,
21867,4127894,40,386,Davidsonland,80,Minnesota,
191951,908109,46,604,Candiceport,94,Oregon,
43366,9090614,33,956,Katieshire,96,New Mexico,
253897,5740689,39,333,Markchester,84,Michigan,
157637,2920833,39,530,Tonyton,79,South Carolina,
661323,5899842,49,858,North Mariashire,66,Delaware,
945526,9540249,71,662,West Tonimouth,27,Michigan,
830185,7583973,73,946,New Jay,7,New Jersey,
105856,975961,83,145,South Zacharyburgh,90,Georgia,
257338,4654689,50,228,Howardberg,54,New Mexico,
511651,3440830,84,432,Zacharyborough,77,South Carolina,
166418,4136157,81,457,Garyton,15,Arkansas,
8393,8206990,90,430,North Gloriahaven,85,Nevada,
153365,2758223,76,930,Port Toddmouth,79,Virginia,
44871,9655258,92,468,South Mark,63,Arizona,
146194,211134,70,970,Port Crystal,41,Washington,
568847,5867500,55,926,East Brittany,53,North Carolina,
298603,8136828,13,925,North Natasha,97,Indiana,
543578,360801,14,853,Aprilborough,89,Nebraska,
428885,2255077,67,943,Wagnerview,67,Virginia,
919618,5057412,45,519,Port Sabrinaview,58,Iowa,
192940,723752,22,276,Batesbury,16,Florida,
949152,766840,61,133,North Matthewhaven,78,Virginia,
588696,3864655,39,957,Michaelland,71,Illinois,
864294,8346705,41,677,North Kathryn,74,New Jersey,
877653,8703645,38,732,East Janetfort,25,California,
754239,1224337,62,900,Port Brian,23,North Carolina,
469012,7557223,88,830,Lake Adrian,23,Delaware,
123998,8033059,49,321,Erikfort,82,Tennessee,
371928,4659393,54,420,Lake Julia,94,Iowa,
717366,3132033,26,757,West Amandaborough,43,Illinois,
114145,4800977,46,452,West Jeffreyburgh,17,Rhode Island,
350437,7612338,78,519,New Laura,10,Washington,
849276,8585696,22,742,Michellefurt,5,Texas,
901246,1902853,25,215,Smithton,15,Alabama,
749127,8300932,47,105,Wadefurt,28,California,
665130,3988069,82,238,West Johnnyville,81,Kentucky,
418297,4527426,98,400,New Charlesview,5,Florida,
700251,61715,26,601,West Jessicaberg,93,Oklahoma,
188527,8854045,18,769,Rhondaport,59,West Virginia,
209276,2457610,18,413,Estradaborough,10,Iowa,
847130,1817802,61,483,Johnsonton,24,Wyoming,
711879,3919139,56,654,West Angelaborough,95,Kentucky,
62748,4764101,62,695,North Jenna,58,Utah,
170978,1431395,73,584,South Donaldland,10,Idaho,
455938,706065,47,698,Allenton,89,Arkansas,
185320,97962,27,731,South Mary,96,Louisiana,
564539,422846,96,695,South Christopherchester,71,New Hampshire,
974496,1941793,38,813,Taylorville,22,Massachusetts,
507648,516481,81,381,New Tonya,36,Colorado,
143109,357939,72,241,West Charles,13,Florida,
460907,6054491,20,790,Wagnerport,0,Montana,
951571,2129838,34,997,Lake Edward,48,Missouri,
161127,6583409,26,629,Carmenville,79,Mississippi,
702884,5827218,32,884,Amandafort,70,South Carolina,
7106,4732124,18,333,Port Andrew,38,Maryland,
715224,5627094,47,536,Romanfort,6,Mississippi,
9575,9796582,14,970,South Jenna,44,Nevada,
426004,6003306,53,370,East Scott,7,Indiana,
991100,3138658,53,624,Lake Robin,26,Louisiana,
673981,5780440,91,576,Lake Davidton,92,Wyoming,
202364,4211717,20,870,East Zachary,78,Tennessee,
571577,9670155,55,893,Kimberlyfort,34,Missouri,
142013,1027378,79,824,Jonesbury,33,Utah,
97697,2686349,11,751,Port Christopherborough,20,Virginia,
539050,9755890,33,224,South Davidburgh,38,Maryland,
824924,9047392,96,889,Greenmouth,44,Ohio,
145158,3269716,51,583,Gregorystad,56,Texas,
704943,2102058,51,946,New John,35,Oklahoma,
240621,7273522,30,856,Alvarezberg,1,Illinois,
394374,8324740,20,255,West Carlos,93,Illinois,
389399,9526969,90,982,Jerryberg,48,Alabama,
634740,8551240,78,909,Schwartzville,59,New Hampshire,
987866,8486945,70,225,Catherinemouth,21,Louisiana,
989806,2955065,92,682,Carpentershire,35,Nebraska,
228472,4348131,22,799,New Claudiaville,24,Pennsylvania,
672855,6591598,11,150,North Kathrynfurt,82,Minnesota,
507186,1403933,69,424,Taylorchester,61,Pennsylvania,
587887,8474913,91,304,Derekfurt,76,Texas,
198420,303329,82,711,West Angelamouth,66,California,
546259,8816342,74,492,Port Christinefort,36,South Carolina,
357695,4385314,26,165,Port Rhonda,52,Vermont,
131959,1523674,48,340,East Barbara,60,Alaska,
193785,1162576,63,760,South Alyssaberg,47,Delaware,
465801,8213877,96,685,South Brent,34,Virginia,
631906,4172287,12,908,Lake Taylor,97,Minnesota,
358766,7535983,93,826,Lake Vanessaport,78,Utah,
582969,8587494,25,180,New Jefferyhaven,90,Delaware,
618743,9694407,28,952,Brookebury,72,New York,
888355,9230837,17,276,Richardsmouth,44,New Hampshire,
205940,6228562,85,926,New Leslie,83,Oklahoma,
827934,7681576,67,888,Harrisland,83,Idaho,
403829,1420736,80,845,Lake Brian,80,Arkansas,
642876,8822534,61,387,Johnsonstad,44,Pennsylvania,
418349,3336764,36,599,Ricardofort,69,Georgia,
821267,2597530,29,662,Greenton,96,Kansas,
218689,4831506,39,537,Lake Todd,12,West Virginia,
716329,3351732,22,917,North Philip,12,Michigan,
288080,1568494,55,107,Jacobville,20,New York,
317948,1484331,33,306,Scotttown,14,Wyoming,
604555,6212073,68,172,Jacobview,31,Minnesota,
214498,7551212,55,832,Lindseystad,70,Minnesota,
959846,1052096,22,297,Rodgerschester,93,Idaho,
345058,7259025,38,747,Port Connor,37,Texas,
138118,4016102,72,733,Pollardmouth,17,Kentucky,
778146,4513511,17,686,Forbeshaven,10,Alaska,
53672,4634092,16,300,Hansenport,75,Hawaii,
945482,6827070,93,242,Walterhaven,72,Oregon,
932263,4093806,61,273,South Chadland,29,New Mexico,
395826,120422,17,301,North Lisa,25,Iowa,
525687,4193853,26,150,Richardberg,20,New Jersey,
1399,5872453,71,852,Knoxmouth,1,Georgia,
554709,6323062,22,739,Francomouth,25,Kentucky,
53212,355816,82,877,Jeffreyport,6,Oklahoma,
774732,9877986,94,937,Lake Mirandafort,98,Nebraska,
612580,7123391,46,888,West Arianafort,54,Nevada,
791771,305209,62,592,East Shawnside,22,Wisconsin,
570810,990852,47,761,Hillfurt,44,Oregon,
593459,4565076,23,463,Jamesburgh,94,Pennsylvania,
735211,1010527,45,626,Port Jo,74,Wyoming,
125918,5964685,98,879,Robinsonstad,27,Wisconsin,
117494,3806726,99,756,Rossport,41,Pennsylvania,
757606,7926825,49,698,Port Raymondstad,20,Mississippi,
34761,8220715,39,232,North Michellemouth,54,Arizona,
366786,2102037,43,342,Millerburgh,34,Kansas,
