ZCTA5,Median Income 2000,Inflation Adjusted 2000,Median Income 2014,Percent Change,Gentrified,Auto Customization,Auto Loan Providers,Auto Parts Supplies,Auto Repair,Barbers,Barre Classes,Bars,Beer Gardens,Bespoke,Bikes,Blowout Services,Body Shops,Boot Camps,Breakfast/Brunch,Breweries,Cafes,Cannabis Clinics,Cannabis Dispensaries,Cannabis Referrals,Car Shares,Cocktail Bars,Coffee,Coffee Roasteries,Cycling Classes,Discount Store,Distilleries,Dive Bars,Dog Parks,Doulas,Empanadas,Food Banks,Galleries,Guns and Ammo,Gyms,Hairstylists,Health Markets,Homeless Shelters,Intl Grocery,Juice Bars,Kombucha,Mexican,Movie Theaters,Music Venues,Organic Stores,Paint And Sip,Pawn,Pets,Pilates,Public Art,Pubs,Skate Parks,Tattoo,Theater,Thrift Stores,Vape Shops,Vegan,Vegetarian,Vintage,Wine Bars,Yoga
11201,56293,77385.87516,98775,0.276395722,N,0,0,0,null,14,5,17,2,0,3,1,2,0,13,0,15,null,null,null,null,7,48,0,2,null,1,2,3,1,0,null,24,null,15,3,2,1,0,12,null,19,null,0,2,0,2,0,10,0,5,0,0,3,4,0,2,0,4,4,10
11203,37341,51332.59845,46630,-0.091610372,N,0,0,3,null,6,0,3,0,0,0,0,7,0,0,0,0,null,null,null,null,0,0,0,0,null,0,0,0,0,0,null,0,null,1,1,3,0,0,2,null,2,null,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
11204,31798,43712.64737,45593,0.043016215,N,0,0,0,null,8,0,0,0,0,0,2,3,0,0,0,5,null,null,null,null,0,8,0,0,null,0,0,0,0,0,null,0,null,1,0,2,0,0,0,null,6,null,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1
11205,28070,38587.77318,47050,0.219298138,N,0,0,0,null,5,0,9,0,2,5,0,3,0,8,0,8,null,null,null,null,2,16,1,0,null,0,1,0,2,0,null,5,null,2,2,0,0,0,0,null,11,null,1,0,0,0,0,0,0,6,0,2,0,0,0,0,3,0,0,4
11206,18661,25653.23959,30686,0.196184205,Y,0,0,2,null,15,0,15,1,0,5,0,0,1,5,0,7,null,null,null,null,3,27,0,0,null,0,2,0,0,2,null,8,null,6,4,2,0,0,9,null,16,null,8,0,0,0,0,2,0,3,0,4,0,7,0,4,2,5,0,2
11207,24163,33216.82805,33816,0.018038205,N,0,0,5,null,7,0,2,0,0,0,0,3,0,8,0,3,null,null,null,null,0,7,0,0,null,0,0,0,0,0,null,1,null,2,3,0,0,0,0,null,3,null,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
11208,27078,37224.07276,34527,-0.072455069,N,0,0,2,null,5,0,2,0,0,0,0,3,0,2,0,0,null,null,null,null,0,6,0,0,null,0,0,0,0,0,null,0,null,2,1,1,0,0,0,null,5,null,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11209,44518,61198.80608,59934,-0.020667169,N,0,0,3,null,12,0,8,0,0,2,1,2,0,14,0,9,null,null,null,null,3,26,0,0,null,0,2,1,0,0,null,1,null,10,2,3,0,0,7,null,10,null,0,0,0,2,0,0,0,8,0,3,0,0,0,0,0,2,3,5
11210,42967,59066.64946,56052,-0.051038098,N,0,0,1,null,7,0,1,0,0,1,1,2,0,0,0,3,null,null,null,null,0,8,0,0,null,0,0,0,0,0,null,0,null,2,3,3,0,0,4,null,4,null,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
11211,23567,32397.50804,50943,0.572435755,Y,0,0,2,null,15,1,59,0,1,8,0,4,0,24,2,15,null,null,null,null,12,47,0,1,null,0,8,3,0,0,null,19,null,13,6,4,0,0,14,null,37,null,15,0,0,0,1,5,0,8,0,15,0,7,0,6,5,22,8,15
