 ZCTA5,Median Income 2000,Inflation Adjusted 2000,Median Income 2014,percent change,gentrified,autocustomization,autopartssupplies,barbers,barreclasses,bars,beergardens,bespoke,bikes,blowoutservices,bodyshops,bootcamps,breakfast_brunch,breweries,cafes,cannabis_clinics,cannabisdispensaries,carshares,cocktailbars,coffee,coffeeroasteries,cyclingclasses,divebars,dog_parks,doulas,empanadas,foodbanks,galleries,hairstylists,healthmarkets,homelessshelters,intlgrocery,juicebars,kombucha,mexican,movietheaters,musicvenues,organic_stores,paintandsip,pawn,pets,pubs,skate_parks,tattoo,thrift_stores
94102,22351.00,30725.88,24127.00,-0.21,N,0,0,9,2,19,0,3,0,4,8,0,20,0,22,1,0,1,19,64,0,0,5,0,0,0,0,50,22,1,1,0,3,0,19,0,20,0,0,0,0,4,0,3,0
94103,31131.00,42795.72,41612.00,-0.03,N,0,6,7,2,21,0,2,1,0,30,4,23,3,21,18,0,0,12,66,0,0,11,1,0,3,0,69,18,0,1,0,12,0,33,0,19,0,1,5,0,0,3,9,0
94104,14609.00,20082.96,80341.00,3.00,Y,0,0,10,0,3,0,0,0,3,0,0,4,0,3,0,0,0,1,20,0,0,1,0,1,0,0,7,9,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0
94105,88976.00,122315.13,170656.00,0.40,N,0,0,1,1,7,0,0,1,0,0,0,11,2,7,6,0,0,7,45,2,2,2,0,1,0,0,18,5,0,0,0,9,0,16,0,5,1,0,0,1,2,0,1,0
94107,61362.00,84354.22,120610.00,0.43,N,0,1,3,1,18,0,1,6,0,22,7,14,11,10,2,0,0,6,33,0,3,1,1,1,0,1,30,7,4,0,0,2,1,14,0,7,0,1,0,0,1,0,1,1
94108,31542.00,43360.72,36875.00,-0.15,N,0,0,16,0,5,0,6,0,8,0,1,8,0,9,1,0,1,9,37,0,0,4,0,0,0,0,43,54,3,0,2,4,0,4,0,0,0,0,2,0,3,0,1,0
94109,43444.00,59722.38,63173.00,0.06,N,0,0,9,0,21,1,1,0,3,19,7,16,1,22,4,0,0,12,37,0,0,8,1,3,0,0,39,23,5,1,0,7,0,8,0,7,0,0,0,0,6,0,3,0
94110,53795.00,73951.88,84488.00,0.14,N,0,4,18,1,36,0,1,1,0,15,3,23,2,16,7,0,0,13,52,0,0,24,1,7,2,0,59,14,3,0,0,9,0,76,1,10,1,0,5,0,8,0,23,3
94111,56569.00,77765.29,103472.00,0.33,N,0,0,10,1,11,0,3,2,0,0,4,5,0,11,2,0,0,0,46,0,0,0,0,0,0,0,7,7,2,0,0,4,0,15,0,2,0,0,0,0,5,0,0,0
94112,57629.00,79222.47,71505.00,-0.10,N,1,2,15,0,4,1,0,0,0,6,0,3,0,1,8,0,0,0,15,0,0,6,2,4,0,0,2,6,0,0,0,0,0,15,0,0,0,0,0,0,1,1,6,0
94114,75727.00,104101.76,122970.00,0.18,N,0,0,17,0,3,0,0,0,1,2,3,14,1,2,6,0,0,4,27,0,1,3,2,2,0,0,6,11,6,0,0,5,0,10,0,2,0,0,0,0,3,0,8,0
94115,54879.00,75442.05,85330.00,0.13,N,0,2,6,0,6,0,0,0,4,3,0,0,1,9,0,0,0,0,24,0,0,1,0,1,1,0,11,9,1,0,1,1,0,3,0,2,0,0,0,0,1,0,0,0
94116,66627.00,91592.00,84828.00,-0.07,N,0,1,6,0,4,0,0,0,0,1,0,4,0,0,0,0,0,0,8,0,0,0,0,4,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0
94117,63983.00,87957.30,103333.00,0.17,N,0,0,10,0,7,0,0,0,0,2,4,11,3,8,8,0,0,4,27,1,0,6,2,6,0,0,7,13,8,0,0,0,0,11,0,6,0,0,0,0,6,1,9,0
94118,61609.00,84693.77,82993.00,-0.02,N,0,0,2,0,8,0,0,0,2,2,0,7,0,7,2,0,0,0,29,0,0,4,0,0,0,0,17,8,0,0,2,0,0,4,0,4,0,0,0,0,6,0,3,0
94121,61776.00,84923.34,70220.00,-0.17,N,0,0,7,0,1,0,0,0,0,0,2,6,2,5,1,0,0,0,18,1,0,2,1,4,0,0,6,4,2,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0
94122,60733.00,83489.53,86070.00,0.03,N,0,1,9,1,3,0,0,0,0,0,3,7,2,6,0,1,0,0,33,0,0,3,2,5,0,0,7,4,3,0,1,6,0,10,0,1,0,0,0,0,4,0,6,1
94123,84710.00,116450.67,121200.00,0.04,N,0,0,9,6,7,0,0,0,4,2,3,11,0,4,1,0,0,8,15,2,1,3,0,1,0,0,8,28,0,0,0,5,0,10,0,0,1,0,1,0,4,0,0,0
94124,37146.00,51064.53,49594.00,-0.03,N,1,8,6,0,2,0,0,1,0,25,0,4,4,4,1,0,0,0,13,0,0,0,0,0,0,0,15,0,1,0,0,1,0,17,0,2,0,0,0,0,0,1,1,2
94127,95313.00,131026.59,131108.00,0.00,N,0,0,5,2,0,0,0,0,1,0,0,4,0,0,0,1,0,0,9,0,0,3,0,1,0,0,0,6,0,0,0,0,0,5,0,1,0,0,2,0,3,0,2,0
94129,73571.00,101137.91,144886.00,0.43,N,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,5,0,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
94130,80959.00,111294.18,38077.00,-0.66,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
94131,76044.00,104537.54,100114.00,-0.04,N,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,10,0,0,1,3,2,0,0,4,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
94132,55000.00,75608.39,66607.00,-0.12,N,0,0,0,0,0,0,0,0,0,1,4,0,0,3,1,0,0,0,16,0,0,0,2,1,0,0,1,1,3,0,0,0,0,6,0,0,0,0,1,0,1,0,0,1
94133,40990.00,56348.87,53150.00,-0.06,N,0,0,6,0,18,0,0,1,0,0,0,15,0,14,0,0,0,10,33,0,1,8,0,0,0,0,25,4,5,0,2,3,0,8,1,5,0,0,0,0,7,0,5,0
94134,54342.00,74703.84,60230.00,-0.19,N,0,4,2,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,8,0,0,1,0,0,0,0,1,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
94577,50888.00,69955.63,64660.00,-0.08,N,2,0,19,23,0,0,0,4,0,12,3,11,3,2,0,0,0,1,16,0,0,4,1,0,0,0,18,1,0,1,25,0,0,0,0,0,1,2,2,0,0,0,1,2
94601,33152.00,45573.99,39601.00,-0.13,N,2,0,10,7,0,4,0,1,0,17,0,5,1,3,3,0,0,0,8,1,0,3,0,1,0,7,6,0,3,0,82,2,0,1,0,0,0,8,2,0,0,1,0,0
94602,55321.00,76049.67,68813.00,-0.10,N,0,0,0,6,0,0,0,0,1,1,0,5,0,2,1,0,0,1,7,0,0,1,2,3,0,2,4,2,0,0,6,0,0,0,0,0,0,3,0,0,0,3,0,5
94603,34755.00,47777.63,40962.00,-0.14,N,0,0,3,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,1
94605,47288.00,65006.72,57610.00,-0.11,N,0,1,3,10,0,1,0,0,0,4,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,2,0,0,0,0,0,2,1,0,0,0,0,3
94606,32273.00,44365.63,37288.00,-0.16,N,0,0,9,4,0,1,0,1,0,26,0,0,0,2,3,0,0,0,20,0,0,3,0,1,0,5,3,0,0,0,18,2,0,0,0,0,0,2,2,0,0,1,0,3
94607,21124.00,29039.12,34192.00,0.18,Y,1,0,9,5,0,13,0,1,0,6,0,12,4,10,4,0,0,0,33,2,0,1,2,1,0,11,11,3,6,0,18,0,0,0,0,3,0,1,2,3,2,0,4,2
94608,33556.00,46129.37,55959.00,0.21,N,0,0,6,8,0,3,0,3,0,9,2,10,1,0,2,0,0,0,21,3,0,1,0,2,1,11,6,2,3,0,19,0,0,0,0,0,1,0,2,0,1,0,0,15
94609,34398.00,47286.86,56378.00,0.19,N,0,0,0,12,0,3,1,3,0,8,2,6,0,3,3,0,0,4,18,0,0,2,1,4,0,8,7,2,2,0,5,2,0,1,0,3,0,3,1,1,0,3,1,15
94610,49066.00,67450.93,73850.00,0.09,N,0,0,0,7,2,5,0,3,2,0,0,5,0,3,2,0,0,2,14,0,0,3,0,4,0,4,10,2,3,0,2,0,0,0,0,0,0,3,1,0,0,6,2,14
94611,68853.00,94652.08,107577.00,0.14,N,0,0,3,5,2,3,0,3,0,2,5,5,0,4,1,0,0,1,22,0,0,2,0,6,0,6,21,0,3,0,8,0,0,0,0,1,0,2,0,0,0,7,2,12
94612,20034.00,27540.70,30879.00,0.12,Y,0,0,3,14,0,13,4,3,0,7,4,8,2,15,9,1,0,9,34,2,1,5,0,3,0,30,8,0,5,0,21,13,0,2,0,2,0,4,1,3,1,4,2,17
94618,77952.00,107160.46,123575.00,0.15,N,0,0,0,6,1,3,0,1,0,0,2,2,0,2,0,0,1,0,12,0,0,2,0,3,0,3,12,0,0,0,2,1,0,0,1,1,1,0,0,1,0,5,2,4
94619,54174.00,74472.89,78676.00,0.06,N,0,0,1,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,2,0,2,11,0,1,0,3,0,0,0,0,0,0,1,1,0,0,0,0,2
94621,29181.00,40115.06,30528.00,-0.24,N,0,0,5,4,0,4,0,0,0,7,0,0,1,3,3,0,0,0,8,0,0,0,0,0,0,0,0,1,3,0,18,2,1,0,0,2,0,0,0,0,0,0,1,0
78610,60528.00,83207.72,74550.00,-0.10,N,0,0,7,0,1,0,2,0,0,1,0,4,0,0,0,2,0,4,0,1,0,0,0,0,0,2,4,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,1,0
78613,69542.00,95599.25,83146.00,-0.13,N,0,1,7,0,13,2,7,0,0,0,5,5,2,6,1,5,0,9,0,1,1,1,1,0,0,2,20,14,1,4,0,25,0,0,1,3,4,0,0,3,0,0,1,1
78617,40392.00,55526.80,45040.00,-0.19,N,0,0,2,0,1,0,0,0,0,0,0,1,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,1
78641,57294.00,78761.95,73535.00,-0.07,N,0,0,3,0,1,0,0,0,0,0,1,3,0,0,0,0,0,2,0,1,0,2,0,0,0,3,7,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0
